Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
nyh1030_rocketmart-pcweb,Keyless Entry,src/main/java/com/rocketmart/jooq/tables/TbBrandMst.java,74,74,"public final TableField<TbBrandMstRecord, Integer> BRAND_LOGO_AFILE_SEQ = createField(DSL.name(""BRAND_LOGO_AFILE_SEQ""), org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, ""브랜드 로고 첨부 일련번호"");","The column BRAND_LOGO_AFILE_SEQ appears to reference the tb_cm_afile table (based on the naming convention with AFILE_SEQ suffix) but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint referencing KEY_TB_CM_AFILE_PRIMARY to ensure referential integrity."
nyh1030_rocketmart-pcweb,31 Flavors,src/main/java/com/rocketmart/jooq/tables/TbInquiryDtl.java,79,79,"public final TableField<TbInquiryDtlRecord, String> REPLY_YN = createField(DSL.name(""REPLY_YN""), org.jooq.impl.SQLDataType.VARCHAR(10).defaultValue(org.jooq.impl.DSL.field(""'N'"", org.jooq.impl.SQLDataType.VARCHAR)), this, ""회신여부"");","The REPLY_YN column appears to store a yes/no flag value with a default of 'N', which is a limited set of allowed values that could change over time. Consider using a lookup table for reply statuses or converting this to a BOOLEAN type if it truly represents a binary yes/no value."
nyh1030_rocketmart-pcweb,Keyless Entry,src/main/java/com/rocketmart/jooq/tables/TbMemMst.java,134,134,"public final TableField<TbMemMstRecord, Integer> BSNS_RGSTR_SEQ = createField(DSL.name(""BSNS_RGSTR_SEQ""), org.jooq.impl.SQLDataType.INTEGER.defaultValue(org.jooq.impl.DSL.field(""NULL"", org.jooq.impl.SQLDataType.INTEGER)), this, ""사업자등록증 일련번호"");","The BSNS_RGSTR_SEQ column appears to reference a business registration file (likely in TbCmAfile based on the AFILE_SEQ primary key), but lacks a foreign key constraint. This can lead to orphaned records and data integrity issues. Consider adding a foreign key constraint to TbCmAfile.AFILE_SEQ if this column references that table."
nyh1030_rocketmart-pcweb,Rounding Errors,src/main/java/com/rocketmart/jooq/tables/TbPrdFob.java,83,83,"public final TableField<TbPrdFobRecord, Double> TRADING_PRICE = createField(DSL.name(""TRADING_PRICE""), org.jooq.impl.SQLDataType.DOUBLE.defaultValue(org.jooq.impl.DSL.field(""NULL"", org.jooq.impl.SQLDataType.DOUBLE)), this, ""거래가(U$)"");","The TRADING_PRICE column stores monetary values (trading price in U$) using DOUBLE, which can cause precision loss in financial calculations. Use DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(19,4)) to ensure accurate currency calculations."
nyh1030_rocketmart-pcweb,Rounding Errors,src/main/java/com/rocketmart/jooq/tables/TbPrdFob.java,88,88,"public final TableField<TbPrdFobRecord, Double> SUPPLY_RATE = createField(DSL.name(""SUPPLY_RATE""), org.jooq.impl.SQLDataType.DOUBLE.defaultValue(org.jooq.impl.DSL.field(""NULL"", org.jooq.impl.SQLDataType.DOUBLE)), this, ""공급률"");","The SUPPLY_RATE column stores a rate value using DOUBLE, which can introduce floating-point rounding errors in calculations. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(10,4)) to maintain exact values for rate calculations."
nyh1030_rocketmart-pcweb,Rounding Errors,src/main/java/com/rocketmart/jooq/tables/TbPrdFob.java,93,93,"public final TableField<TbPrdFobRecord, Double> EXPOSURE_SUPPLY_RATE = createField(DSL.name(""EXPOSURE_SUPPLY_RATE""), org.jooq.impl.SQLDataType.DOUBLE.defaultValue(org.jooq.impl.DSL.field(""NULL"", org.jooq.impl.SQLDataType.DOUBLE)), this, ""노출 공급률"");","The EXPOSURE_SUPPLY_RATE column stores a rate value using DOUBLE, which can cause precision issues in calculations. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(10,4)) to ensure accurate rate calculations."
nyh1030_rocketmart-pcweb,Rounding Errors,src/main/java/com/rocketmart/jooq/tables/TbPrdMst.java,118,118,"public final TableField<TbPrdMstRecord, Double> RETAIL_PRICE = createField(DSL.name(""RETAIL_PRICE""), org.jooq.impl.SQLDataType.DOUBLE.defaultValue(org.jooq.impl.DSL.field(""NULL"", org.jooq.impl.SQLDataType.DOUBLE)), this, ""소비자가격(USD)"");","The RETAIL_PRICE column uses DOUBLE to store USD prices, which can cause rounding errors in financial calculations. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(10,2)) to ensure accurate monetary values."
nyh1030_rocketmart-pcweb,Keyless Entry,src/main/java/com/rocketmart/jooq/tables/TbPrdMst.java,123,123,"public final TableField<TbPrdMstRecord, Integer> FOB_SEQ = createField(DSL.name(""FOB_SEQ""), org.jooq.impl.SQLDataType.INTEGER.defaultValue(org.jooq.impl.DSL.field(""NULL"", org.jooq.impl.SQLDataType.INTEGER)), this, ""도매가격(FOB) 일련번호"");",The FOB_SEQ column references the TbPrdFob table (which has KEY_TB_PRD_FOB_PRIMARY on FOB_SEQ) but lacks a foreign key constraint. Add a foreign key constraint referencing TbPrdFob.FOB_SEQ to ensure referential integrity.
nyh1030_rocketmart-pcweb,Fear of the Unknown,src/main/java/com/rocketmart/jooq/tables/TbWishMst.java,74,74,"public final TableField<TbWishMstRecord, String> ASK_YN = createField(DSL.name(""ASK_YN""), org.jooq.impl.SQLDataType.CHAR(1).defaultValue(org.jooq.impl.DSL.field(""'N'"", org.jooq.impl.SQLDataType.CHAR)), this, ""문의여부"");","The ASK_YN column has a default value but is marked as NULLABLE, which can lead to ambiguity between NULL and 'N' values. Consider adding a NOT NULL constraint to this column since it already has a default value."
nyh1030_rocketmart-pcweb,Fear of the Unknown,src/main/java/com/rocketmart/jooq/tables/TbWishMst.java,79,79,"public final TableField<TbWishMstRecord, String> DEL_YN = createField(DSL.name(""DEL_YN""), org.jooq.impl.SQLDataType.CHAR(1).defaultValue(org.jooq.impl.DSL.field(""'N'"", org.jooq.impl.SQLDataType.CHAR)), this, ""삭제여부"");","The DEL_YN column has a default value but is marked as NULLABLE, which can lead to ambiguity between NULL and 'N' values. Consider adding a NOT NULL constraint to this column since it already has a default value."
nyh1030_rocketmart-pcweb,Poor Man's Search Engine,src/main/java/com/rocketmart/pcweb/biz/dao/repository/BrandRepository.java,156,156,".where(isNotEmpty(schCompanyNm, TB_MEM_MST.COMPANY_NM.like(""%""+schCompanyNm+""%"")))",Using LIKE with wildcards on both sides ('%value%') for searching company names performs a full table scan and cannot use indexes efficiently. Consider using a full-text search index or a dedicated search engine like Elasticsearch for better performance.
nyh1030_rocketmart-pcweb,Poor Man's Search Engine,src/main/java/com/rocketmart/pcweb/biz/dao/repository/BrandRepository.java,157,157,".and(isNotEmpty(schMemId, TB_MEM_MST.MEM_ID.like(""%""+schMemId+""%"")))",Using LIKE with wildcards on both sides ('%value%') for searching member IDs performs a full table scan. Consider using a full-text search index or exact match if the use case allows.
nyh1030_rocketmart-pcweb,Poor Man's Search Engine,src/main/java/com/rocketmart/pcweb/biz/dao/repository/BrandRepository.java,158,158,".and(isNotEmpty(schBrandNm, TB_BRAND_MST.BRAND_NM.like(""%""+schBrandNm+""%"")))",Using LIKE with wildcards on both sides ('%value%') for searching brand names cannot leverage database indexes. Consider implementing full-text search capabilities for better search performance.
nyh1030_rocketmart-pcweb,Poor Man's Search Engine,src/main/java/com/rocketmart/pcweb/biz/dao/repository/BrandRepository.java,173,173,".where(isNotEmpty(schCompanyNm, TB_MEM_MST.COMPANY_NM.like(""%"" + schCompanyNm + ""%"")))",Using LIKE with wildcards on both sides ('%value%') for searching company names results in inefficient full table scans. Consider using a full-text search index for better query performance.
nyh1030_rocketmart-pcweb,Poor Man's Search Engine,src/main/java/com/rocketmart/pcweb/biz/dao/repository/BrandRepository.java,174,174,".and(isNotEmpty(schMemId, TB_MEM_MST.MEM_ID.like(""%"" + schMemId + ""%"")))",Using LIKE with wildcards on both sides ('%value%') for searching member IDs prevents index usage. Consider using full-text search or exact matching if appropriate.
nyh1030_rocketmart-pcweb,Poor Man's Search Engine,src/main/java/com/rocketmart/pcweb/biz/dao/repository/BrandRepository.java,175,175,".and(isNotEmpty(schBrandNm, TB_BRAND_MST.BRAND_NM.like(""%"" + schBrandNm + ""%"")))",Using LIKE with wildcards on both sides ('%value%') for searching brand names is inefficient. Consider using database full-text search features for better performance.
