Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
oneops_oneops,Keyless Entry,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/CmCi.java,96,96,"public final TableField<CmCiRecord, Long> LAST_APPLIED_RFC_ID = createField(""last_applied_rfc_id"", org.jooq.impl.SQLDataType.BIGINT, this, """");","The column 'last_applied_rfc_id' appears to reference the DJ_RFC_CI table (based on the naming convention and the existence of DJ_RFC_CI_PK on RFC_ID), but lacks a foreign key constraint. Add a foreign key constraint referencing the DJ_RFC_CI table to ensure referential integrity."
oneops_oneops,ID Required,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/CmCiState.java,59,59,"public final TableField<CmCiStateRecord, Integer> CI_STATE_ID = createField(""ci_state_id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");",The table has a synthetic primary key 'ci_state_id' but also has a 'state_name' column that appears to be a natural key suitable as a primary key since state names are typically immutable and unique. Consider using 'state_name' as the primary key or renaming 'ci_state_id' to something more descriptive like 'ci_state_id'.
oneops_oneops,ID Required,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/CmOpsActionState.java,59,59,"public final TableField<CmOpsActionStateRecord, Integer> STATE_ID = createField(""state_id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");",The table has a synthetic primary key (STATE_ID) even though STATE_NAME could serve as a natural primary key since state names are typically immutable and unique. Consider using STATE_NAME as the primary key or renaming STATE_ID to something more descriptive like OPS_ACTION_STATE_ID.
oneops_oneops,Keyless Entry,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/CmOpsProcedures.java,76,76,"public final TableField<CmOpsProceduresRecord, Long> PROC_CI_ID = createField(""proc_ci_id"", org.jooq.impl.SQLDataType.BIGINT, this, """");",The column 'proc_ci_id' appears to reference another CI entity (similar to 'ci_id' which has a foreign key to CM_CI_PK) but lacks a foreign key constraint. Consider adding a foreign key constraint referencing the cm_ci table's primary key to ensure referential integrity.
oneops_oneops,ID Required,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/CmOpsProcState.java,59,59,"public final TableField<CmOpsProcStateRecord, Integer> STATE_ID = createField(""state_id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","This table uses a synthetic primary key 'state_id' when the 'state_name' column (VARCHAR(64), NOT NULL) could serve as a natural primary key since state names are typically immutable and unique. Consider using 'state_name' as the primary key or renaming 'state_id' to something more descriptive like 'proc_state_id'."
oneops_oneops,ID Required,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/CmsEventType.java,59,59,"public final TableField<CmsEventTypeRecord, Integer> EVENT_TYPE_ID = createField(""event_type_id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The table has a synthetic primary key 'event_type_id' but the 'event_type' column (VARCHAR(64), NOT NULL) appears to be a natural key that could serve as the primary key since event types are typically immutable string identifiers. Consider using 'event_type' as the primary key instead of the synthetic integer ID."
oneops_oneops,ID Required,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/CmsLock.java,60,60,"public final TableField<CmsLockRecord, Long> LOCK_ID = createField(""lock_id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The table has a synthetic primary key 'lock_id' but also has a unique constraint on 'lock_name' (CMS_LOCK_ULN index visible in getIndexes()), which could serve as a natural primary key since lock names are typically immutable identifiers. Consider using 'lock_name' as the primary key instead of the synthetic 'lock_id'."
oneops_oneops,ID Required,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/DjApprovalStates.java,59,59,"public final TableField<DjApprovalStatesRecord, Integer> STATE_ID = createField(""state_id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The table has a synthetic primary key 'state_id' while the 'state_name' column (VARCHAR(64), NOT NULL) could serve as a natural primary key since approval state names are inherently unique and immutable. Consider using 'state_name' as the primary key or renaming 'state_id' to something more descriptive like 'approval_state_id'."
oneops_oneops,Keyless Entry,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/DjDeploymentRfc.java,76,76,"public final TableField<DjDeploymentRfcRecord, Long> RFC_ID = createField(""rfc_id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The RFC_ID column appears to reference the DJ_RFC_CI table (based on the DJ_RFC_CI_PK primary key on RFC_ID), but no foreign key constraint is defined for this relationship. Add a foreign key constraint referencing DJ_RFC_CI.RFC_ID to ensure referential integrity."
oneops_oneops,ID Required,crawler/src/generated-sources/java/com/oneops/crawler/jooq/cms/tables/DjDeploymentRfcStates.java,59,59,"public final TableField<DjDeploymentRfcStatesRecord, Integer> STATE_ID = createField(""state_id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");",The table has a synthetic primary key 'state_id' but also has a 'state_name' column that appears to be a natural key suitable as a primary key since state names are typically immutable and unique. Consider using 'state_name' as the primary key instead of the synthetic 'state_id'.
