Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
oracle_graalvm-reachability-metadata,Implicit Columns,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/JooqTest.java,83,84,"List<StudentRecord> students = context.select()
            .from(STUDENT)","Using select() without specifying columns fetches all columns from the STUDENT table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., context.select(STUDENT.ID, STUDENT.FIRST_NAME, ...).from(STUDENT)."
oracle_graalvm-reachability-metadata,Implicit Columns,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/JooqTest.java,95,96,"students = context.select()
            .from(STUDENT)","Using select() without specifying columns fetches all columns from the STUDENT table. Specify only the columns you need, such as context.select(STUDENT.ID, STUDENT.FIRST_NAME, STUDENT.LAST_NAME).from(STUDENT)."
oracle_graalvm-reachability-metadata,Implicit Columns,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/JooqTest.java,107,108,"students = context.select()
            .from(STUDENT)","Using select() without specifying columns fetches all columns from the joined tables. Explicitly specify only the required columns to avoid fetching unnecessary data from STUDENT, STUDENT_COURSE, and COURSE tables."
oracle_graalvm-reachability-metadata,Implicit Columns,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/JooqTest.java,120,121,"StudentRecord student = context.select()
            .from(STUDENT)","Using select() without specifying columns fetches all columns from the STUDENT table. Specify only the columns needed, e.g., context.select(STUDENT.ID, STUDENT.FIRST_NAME, STUDENT.LAST_NAME, STUDENT.GENDER, STUDENT.AGE).from(STUDENT)."
oracle_graalvm-reachability-metadata,Implicit Columns,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/JooqTest.java,135,136,"TeacherRecord teacher = context.select()
            .from(TEACHER)",Using select() without specifying columns fetches all columns from the TEACHER table. Explicitly list only the required columns to improve query efficiency.
oracle_graalvm-reachability-metadata,Implicit Columns,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/JooqTest.java,148,149,"CourseRecord course = context.select()
            .from(COURSE)",Using select() without specifying columns fetches all columns from the COURSE table. Specify only the columns you need to avoid unnecessary data retrieval.
oracle_graalvm-reachability-metadata,Implicit Columns,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/JooqTest.java,154,155,"List<StudentCourseRecord> studentCourses = context.select()
            .from(STUDENT_COURSE)",Using select() without specifying columns fetches all columns from the STUDENT_COURSE table. Explicitly list only the required columns such as STUDENT_COURSE.STUDENT_ID and STUDENT_COURSE.COURSE_ID.
oracle_graalvm-reachability-metadata,Implicit Columns,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/JooqTest.java,190,191,"CourseProxy courseProxy = context.select()
            .from(COURSE)","Using select() without specifying columns fetches all columns from the COURSE table. Specify only the columns needed for the CourseProxy, e.g., context.select(COURSE.TITLE, COURSE.TEACHER_ID).from(COURSE)."
oracle_graalvm-reachability-metadata,ID Required,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/model/tables/Course.java,61,61,"public final TableField<CourseRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'course_id'. Consider renaming the column to 'course_id' to make it self-documenting and avoid ambiguity when joining tables.
oracle_graalvm-reachability-metadata,ID Required,tests/src/org.jooq/jooq/3.17.7/src/test/java/org_jooq/jooq/model/tables/CourseMaterial.java,61,61,"public final TableField<CourseMaterialRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' as the primary key, but there's already a unique constraint on 'course_id' (KEY_COURSE_MATERIAL_COURSE_ID) which could serve as a natural primary key since each course material is uniquely associated with one course. Consider using 'course_id' as the primary key instead of adding a synthetic 'id' column."
