Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
picodotdev_blog-ejemplos,ID Required,Multidatabase/src/main/java/io/github/picodotdev/blogbitix/multidatabase/jooq/inventory/tables/Item.java,58,58,"public final TableField<ItemRecord, Long> ID = createField(""ID"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).defaulted(true), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to something more descriptive like 'ITEM_ID' to make joins and queries more readable and self-documenting."
picodotdev_blog-ejemplos,ID Required,Multidatabase/src/main/java/io/github/picodotdev/blogbitix/multidatabase/jooq/purchases/tables/Purchase.java,59,59,"public final TableField<PurchaseRecord, Long> ID = createField(""ID"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).defaulted(true), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'PURCHASE_ID' to make it more descriptive and avoid ambiguity in joins."
picodotdev_blog-ejemplos,ID Required,MultiprojectGradle/core/src/main/java/io/github/picodotdev/gradle/core/models/tables/Item.java,56,56,"public final TableField<ItemRecord, Long> ID = createField(""id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).defaulted(true), this, """");","The primary key is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'item_id' to make it more descriptive and avoid ambiguity in queries with joins."
picodotdev_blog-ejemplos,Implicit Columns,MultiprojectGradle/core/src/main/java/io/github/picodotdev/gradle/core/services/ItemDAOImpl.java,27,27,return context.selectFrom(Tables.ITEM).fetch();,"Using selectFrom(Tables.ITEM) fetches all columns from the ITEM table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for this operation."
picodotdev_blog-ejemplos,Implicit Columns,PlugInTapestry/src/main/java/io/github/picodotdev/plugintapestry/services/dao/DefaultJooqProductoDAO.java,35,35,context.selectFrom(PRODUCTO),"Using selectFrom(PRODUCTO) fetches all columns from the PRODUCTO table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Producto object."
picodotdev_blog-ejemplos,Implicit Columns,PlugInTapestry/src/main/java/io/github/picodotdev/plugintapestry/services/dao/DefaultJooqProductoDAO.java,41,41,context.selectFrom(PRODUCTO),Using selectFrom(PRODUCTO) fetches all columns from the PRODUCTO table when only specific fields may be needed. Consider explicitly selecting only the required columns to improve query performance.
picodotdev_blog-ejemplos,Implicit Columns,PlugInTapestry/src/main/java/io/github/picodotdev/plugintapestry/services/dao/DefaultJooqProductoDAO.java,48,48,context.selectFrom(Tables.PRODUCTO),"Using selectFrom(Tables.PRODUCTO) retrieves all columns from the table, which can be inefficient. Specify only the columns you need using select() to reduce data transfer."
picodotdev_blog-ejemplos,Implicit Columns,PlugInTapestry/src/main/java/io/github/picodotdev/plugintapestry/services/dao/DefaultJooqProductoDAO.java,80,80,context.selectFrom(PRODUCTO),Using selectFrom(PRODUCTO) fetches all columns when retrieving a record for update. Consider selecting only the necessary columns or using fetchOptional() with explicit column selection.
picodotdev_blog-ejemplos,ID Required,PlugInTapestry/src/main/jooq/io/github/picodotdev/plugintapestry/entities/jooq/tables/Producto.java,55,55,"public final TableField<ProductoRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named simply 'ID', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'producto_id' or another descriptive name that reflects the table it belongs to."
picodotdev_blog-ejemplos,ID Required,SpringBoot/src/main/java/io/github/picodotdev/blogbitix/springboot/jooq/tables/Department.java,55,55,"public final TableField<DepartmentRecord, Long> ID = createField(""ID"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).defaulted(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'department_id'. Consider renaming the column to 'department_id' to make it self-documenting and avoid ambiguity when joining tables.
picodotdev_blog-ejemplos,ID Required,SpringBoot/src/main/java/io/github/picodotdev/blogbitix/springboot/jooq/tables/Employee.java,57,57,"public final TableField<EmployeeRecord, Long> ID = createField(""ID"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).defaulted(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'employee_id'. Consider renaming the column to 'employee_id' to make it self-documenting and avoid ambiguity when joining tables.
