Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,76,76,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( primaryField.eq( id ) ).fetchAny();,"Using selectFrom() fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for this operation."
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,83,83,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( new Condition[]{field.in( values )} ).fetch();,"Using selectFrom() retrieves all columns from the table, which may include unnecessary data. Consider selecting only the required columns explicitly using select()."
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,89,89,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( primaryField.in( ids ) ).fetch();,"Using selectFrom() fetches all columns from the table, potentially retrieving more data than needed. Consider specifying only the required columns with select()."
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,97,97,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( primaryField.in( ids ) ).fetch();,Using selectFrom() retrieves all columns from the table. Consider using select() with explicit column names to fetch only the data you need.
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,104,104,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( new Condition[]{field.in( values )} ).fetch();,"Using selectFrom() fetches all columns from the table, which can be inefficient. Consider selecting only the specific columns required."
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,109,109,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( new Condition[]{field.eq( value )} ).fetchOne();,Using selectFrom() retrieves all columns from the table. Consider using select() with only the columns needed for this operation.
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,129,129,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( conditions ).orderBy( sortFields ).fetch();,"Using selectFrom() fetches all columns from the table, which may include unnecessary data. Consider specifying only the required columns with select()."
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,133,133,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( conditions ).fetch();,Using selectFrom() retrieves all columns from the table. Consider using select() with explicit column names to improve performance.
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,137,137,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( condition ).fetch();,Using selectFrom() fetches all columns from the table. Consider selecting only the specific columns needed for this operation.
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,141,141,return DSL.using( getConfiguration() ).selectFrom( this.table ).fetch();,"Using selectFrom() retrieves all columns from the table, which can be inefficient. Consider using select() with only the required columns."
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,146,146,return DSL.using( getConfiguration() ).selectFrom( this.table ).where( condition ).orderBy( sortFields ).fetch();,Using selectFrom() fetches all columns from the table. Consider specifying only the columns you need with select().
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,158,158,return Optional.ofNullable( DSL.using( getConfiguration() ).selectFrom( this.table ).limit( 1 ).fetchAny() );,Using selectFrom() retrieves all columns from the table. Consider using select() with explicit column names to fetch only the data you need.
poemp_metadata-gather,Implicit Columns,src/main/java/org/poem/code/dao/BaseDaoImpl.java,162,162,return DSL.using( getConfiguration() ).selectFrom( this.table ).orderBy( sortFields ).fetch();,"Using selectFrom() fetches all columns from the table, which may include unnecessary data. Consider selecting only the required columns explicitly."
poemp_metadata-gather,ID Required,src/main/java/org/poem/code/entities/tables/DsgGatherDb.java,61,61,"public final TableField<DsgGatherDbRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(50).nullable(false), this, ""id"");",The primary key column is generically named 'id' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'gather_db_id' or 'dsg_gather_db_id' to improve clarity and avoid ambiguity in joins.
poemp_metadata-gather,Keyless Entry,src/main/java/org/poem/code/entities/tables/DsgGatherDb.java,66,66,"public final TableField<DsgGatherDbRecord, String> GATHER_ID = createField(""gather_id"", org.jooq.impl.SQLDataType.VARCHAR(500).nullable(false), this, ""元数据采集信息"");","The column 'gather_id' appears to reference the 'dsg_gather_info' table (based on the naming convention and the existence of KEY_DSG_GATHER_INFO_PRIMARY), but no foreign key constraint is defined. Add a foreign key constraint to ensure referential integrity and prevent orphaned records."
poemp_metadata-gather,ID Required,src/main/java/org/poem/code/entities/tables/DsgGatherInfo.java,61,61,"public final TableField<DsgGatherInfoRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(50).nullable(false), this, ""id"");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to something more meaningful like 'gather_info_id' or 'dsg_gather_info_id' to improve clarity when used in joins and foreign key references."
poemp_metadata-gather,ID Required,src/main/java/org/poem/code/entities/tables/DsgGatherStatistics.java,61,61,"public final TableField<DsgGatherStatisticsRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(50).nullable(false), this, ""id"");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the entity it identifies. Consider renaming it to something more meaningful like 'gather_statistics_id' or 'dsg_gather_statistics_id' to improve clarity and avoid ambiguity in joins."
poemp_metadata-gather,Keyless Entry,src/main/java/org/poem/code/entities/tables/DsgGatherStatistics.java,66,66,"public final TableField<DsgGatherStatisticsRecord, String> GATHER_INFO_ID = createField(""gather_info_id"", org.jooq.impl.SQLDataType.VARCHAR(500).nullable(false), this, ""元数据信息, 和任务在一起"");",The column 'gather_info_id' appears to reference the DsgGatherInfo table (which has a primary key KEY_DSG_GATHER_INFO_PRIMARY) but lacks a foreign key constraint. Add a foreign key constraint referencing DsgGatherInfo.ID to ensure referential integrity and prevent orphaned records.
poemp_metadata-gather,ID Required,src/main/java/org/poem/code/entities/tables/DsgGatherTable.java,61,61,"public final TableField<DsgGatherTableRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(50).nullable(false), this, ""id"");",The primary key column is generically named 'id' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'gather_table_id' to improve clarity and avoid ambiguity when joining tables.
poemp_metadata-gather,Keyless Entry,src/main/java/org/poem/code/entities/tables/DsgGatherTable.java,66,66,"public final TableField<DsgGatherTableRecord, String> GATHER_DB_ID = createField(""gather_db_id"", org.jooq.impl.SQLDataType.VARCHAR(500).nullable(false), this, ""元数据数据库信息"");","The column 'gather_db_id' appears to reference the 'dsg_gather_db' table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing the primary key of the 'dsg_gather_db' table."
