Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
quinscape_domainql,Implicit Columns,src/main/java/de/quinscape/domainql/fetcher/BackReferenceFetcher.java,78,78,final SelectConditionStep<Record> step = dslContext.select(),"Using `select()` without specifying columns fetches all columns from the table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., `dslContext.select(field1, field2, ...)`."
quinscape_domainql,Implicit Columns,src/main/java/de/quinscape/domainql/fetcher/ReferenceFetcher.java,88,88,return dslContext.select(),"Using `select()` without specifying columns fetches all columns from the target table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., `select(field1, field2, ...)`."
quinscape_domainql,Implicit Columns,src/test/java/de/quinscape/domainql/logicimpl/TestLogic.java,95,95,dslContext.select(),"Using select() without specifying columns fetches all columns from SOURCE_THREE table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., dslContext.select(Tables.SOURCE_THREE.ID, Tables.SOURCE_THREE.NAME)."
quinscape_domainql,Implicit Columns,src/test/java/de/quinscape/domainql/logicimpl/TestLogic.java,104,104,dslContext.select(),"Using select() without specifying columns fetches all columns from TARGET_SIX table, which wastes bandwidth and memory. Specify only the columns needed, e.g., dslContext.select(Tables.TARGET_SIX.ID, ...)."
quinscape_domainql,Implicit Columns,src/test/java/de/quinscape/domainql/logicimpl/TestLogic.java,117,117,dslContext.select(),Using select() without specifying columns fetches all columns from TARGET_FIVE table. Explicitly select only the required columns to improve query efficiency.
quinscape_domainql,Implicit Columns,src/test/java/de/quinscape/domainql/logicimpl/TestLogic.java,130,130,dslContext.select(),Using select() without specifying columns fetches all columns from SOURCE_EIGHT table. List the specific columns needed to avoid retrieving unnecessary data.
quinscape_domainql,Implicit Columns,src/test/java/de/quinscape/domainql/logicimpl/TestLogic.java,143,143,dslContext.select(),Using select() without specifying columns fetches all columns from TARGET_EIGHT table. Specify only the required columns to reduce data transfer overhead.
quinscape_domainql,Implicit Columns,src/test/java/de/quinscape/domainql/logicimpl/TestLogic.java,156,156,dslContext.select(),Using select() without specifying columns fetches all columns from TARGET_NINE_COUNTS view. Explicitly list the columns you need to improve performance.
quinscape_domainql,Implicit Columns,src/test/java/de/quinscape/domainql/logicimpl/TestLogic.java,169,169,dslContext.select(),Using select() without specifying columns fetches all columns from TARGET_NINE table. Specify only the required columns to avoid unnecessary data retrieval.
quinscape_domainql,ID Required,src/test/java/de/quinscape/domainql/testdomain/tables/Bar.java,66,66,"public final TableField<BarRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(36).nullable(false), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'bar_id' to make it more meaningful and to avoid ambiguity in queries with joins."
