Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ralscha_blog2019,ID Required,ratelimit/src/main/java/ch/rasc/ratelimit/db/tables/Earthquake.java,56,57,"public final TableField<EarthquakeRecord, Long> ID = createField(DSL.name(""ID""),
 SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'ID' column as the primary key while the 'EARTHQUAKE_ID' column appears to be a natural unique identifier that could serve as the primary key instead. Consider renaming the primary key to something more descriptive like 'earthquake_pk' or using 'EARTHQUAKE_ID' as the primary key if it uniquely identifies each record.
ralscha_blog2019,Implicit Columns,ratelimit/src/main/java/ch/rasc/ratelimit/EarthquakeController.java,41,41,this.dsl.selectFrom(EARTHQUAKE),"Using selectFrom(EARTHQUAKE) fetches all columns from the EARTHQUAKE table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Earthquake POJO."
ralscha_blog2019,Implicit Columns,ratelimit/src/main/java/ch/rasc/ratelimit/EarthquakeController.java,53,53,this.dsl.selectFrom(EARTHQUAKE),"Using selectFrom(EARTHQUAKE) fetches all columns from the EARTHQUAKE table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Earthquake POJO."
ralscha_blog2019,Implicit Columns,ratelimit/src/main/java/ch/rasc/ratelimit/EarthquakeController.java,69,69,this.dsl.selectFrom(EARTHQUAKE),"Using selectFrom(EARTHQUAKE) fetches all columns from the EARTHQUAKE table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Earthquake POJO."
ralscha_blog2019,Implicit Columns,ratelimit/src/main/java/ch/rasc/ratelimit/EarthquakeController.java,75,75,this.dsl.selectFrom(EARTHQUAKE),"Using selectFrom(EARTHQUAKE) fetches all columns from the EARTHQUAKE table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Earthquake POJO."
ralscha_blog2019,Implicit Columns,ratelimit/src/main/java/ch/rasc/ratelimit/EarthquakeController.java,82,82,this.dsl.selectFrom(EARTHQUAKE),"Using selectFrom(EARTHQUAKE) fetches all columns from the EARTHQUAKE table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Earthquake POJO."
ralscha_blog2019,Implicit Columns,ratelimit/src/main/java/ch/rasc/ratelimit/EarthquakeController.java,89,89,this.dsl.selectFrom(EARTHQUAKE),"Using selectFrom(EARTHQUAKE) fetches all columns from the EARTHQUAKE table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Earthquake POJO."
ralscha_blog2019,Implicit Columns,sbjooqflyway/src/main/java/ch/rasc/sbjooqflyway/DepartmentController.java,29,29,return this.departmentDao.findAll();,"The DAO's findAll() method fetches all columns from the DEPARTMENT table, which may retrieve unnecessary data. Consider using a DSL query that explicitly selects only the required columns."
ralscha_blog2019,Implicit Columns,sbjooqflyway/src/main/java/ch/rasc/sbjooqflyway/DepartmentController.java,35,35,.selectFrom(DEPARTMENT),"Using selectFrom() fetches all columns from the DEPARTMENT table, which may include unnecessary data. Replace with an explicit select() specifying only the columns needed, e.g., dsl.select(DEPARTMENT.NO, DEPARTMENT.NAME).from(DEPARTMENT)."
ralscha_blog2019,Implicit Columns,sbjooqflyway/src/main/java/ch/rasc/sbjooqflyway/EmployeeController.java,41,41,return this.employeeDao.findAll();,"The DAO's findAll() method fetches all columns from the EMPLOYEE table, which may retrieve unnecessary data and impact performance. Consider using a custom query with DSLContext to select only the specific columns needed."
ralscha_blog2019,Poor Man's Search Engine,sbjooqflyway/src/main/java/ch/rasc/sbjooqflyway/EmployeeController.java,67,67,EMPLOYEE.FIRST_NAME.contains(name).or(EMPLOYEE.FIRST_NAME.contains(name)),"The contains() method translates to a LIKE '%value%' pattern, which cannot use indexes efficiently and performs poorly on large datasets. Consider using a full-text search index (e.g., PostgreSQL's tsvector/tsquery or MySQL's FULLTEXT) for better performance."
ralscha_blog2019,Implicit Columns,stateless/server/src/main/java/ch/rasc/stateless/config/security/AuthController.java,56,56,AppUserRecord appUserRecord = this.dsl.selectFrom(APP_USER),"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, even though only a few fields (password_hash, enabled, id, authority) are actually used. Consider using select() with only the required columns to improve query performance and reduce data transfer."
ralscha_blog2019,Implicit Columns,stateless/server/src/main/java/ch/rasc/stateless/config/security/AuthCookieFilter.java,50,50,var record = this.dsl.select(APP_USER.asterisk()).from(APP_USER),"Using `asterisk()` fetches all columns from the APP_USER table, which can retrieve unnecessary data and cause issues if the table schema changes. Replace with explicit column selection, e.g., `select(APP_USER.ID, APP_USER.USERNAME, ...)` to fetch only the columns needed for `AppUserDetail`."
ralscha_blog2019,ID Required,stateless/server/src/main/java/ch/rasc/stateless/db/tables/AppUser.java,56,57,"public final TableField<AppUserRecord, Long> ID = createField(DSL.name(""ID""),
 SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on EMAIL (CONSTRAINT_76) which could serve as a natural primary key since email addresses are inherently unique and immutable for user identification. Consider using EMAIL as the primary key or renaming ID to something more descriptive like 'app_user_id'."
