Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
revensif_Tinkoff_Course2024,ID Required,scrapper/src/main/java/edu/java/dao/jooq/tables/Link.java,71,71,"public final TableField<LinkRecord, Long> LINK_ID = createField(DSL.name(""LINK_ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key (LINK_ID) even though there's already a unique constraint on URL (CONSTRAINT_23) which could serve as a natural primary key. Consider using URL as the primary key if it's truly unique and immutable, or keep the surrogate key but ensure it's justified by performance or practical concerns."
revensif_Tinkoff_Course2024,Fear of the Unknown,scrapper/src/main/java/edu/java/dao/jooq/tables/Link.java,81,81,"public final TableField<LinkRecord, OffsetDateTime> UPDATED_AT = createField(DSL.name(""UPDATED_AT""), SQLDataType.TIMESTAMPWITHTIMEZONE(6), this, """");","The UPDATED_AT column is marked as NULLABLE but likely should always have a value since it tracks when a link was last updated. Consider adding a NOT NULL constraint with a default value like CURRENT_TIMESTAMP, or ensure the application always provides this value."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/main/java/edu/java/dao/repository/jooq/JooqChatLinkRepository.java,39,39,return dslContext.select(CHAT_LINK.fields()),"Using `CHAT_LINK.fields()` selects all columns from the CHAT_LINK table, which may fetch unnecessary data and reduce performance. Explicitly list only the required columns, e.g., `select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID)`."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/main/java/edu/java/dao/repository/jooq/JooqChatLinkRepository.java,46,46,return dslContext.select(CHAT_LINK.fields()),"Using `CHAT_LINK.fields()` selects all columns from the CHAT_LINK table, which may fetch unnecessary data and reduce performance. Explicitly list only the required columns, e.g., `select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID)`."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/main/java/edu/java/dao/repository/jooq/JooqChatLinkRepository.java,62,62,return dslContext.select(LINK.fields()),"Using `LINK.fields()` selects all columns from the LINK table, which may fetch unnecessary data and reduce performance. Explicitly list only the columns needed by the `Link` class."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/main/java/edu/java/dao/repository/jooq/JooqChatRepository.java,36,36,return dslContext.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which can fetch unnecessary data and break if the schema changes. Explicitly list only the required columns, e.g., select(CHAT.CHAT_ID, CHAT.OTHER_NEEDED_COLUMN)."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/main/java/edu/java/dao/repository/jooq/JooqChatRepository.java,43,43,return dslContext.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which retrieves potentially unnecessary data and couples the code to the full table schema. Specify only the columns needed, e.g., select(CHAT.CHAT_ID)."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/main/java/edu/java/dao/repository/jooq/JooqLinkRepository.java,41,41,return dslContext.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table, which can fetch unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the columns needed for the Link class, e.g., select(LINK.ID, LINK.URL, LINK.UPDATED_AT)."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/main/java/edu/java/dao/repository/jooq/JooqLinkRepository.java,48,48,return dslContext.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table, which retrieves more data than may be necessary. Specify only the required columns explicitly, such as select(LINK.ID, LINK.URL, LINK.UPDATED_AT)."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/main/java/edu/java/dao/repository/jooq/JooqLinkRepository.java,65,65,return dslContext.select(LINK.fields()),"Using LINK.fields() fetches all columns from the LINK table, which can lead to performance issues and fragile code. Replace with an explicit column list like select(LINK.ID, LINK.URL, LINK.UPDATED_AT)."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/main/java/edu/java/dao/repository/jooq/JooqQuestionRepository.java,28,28,return dslContext.select(QUESTION.fields()),"Using `QUESTION.fields()` selects all columns from the QUESTION table, which fetches unnecessary data and couples the code to the table schema. Explicitly list only the required columns, e.g., `select(QUESTION.LINK_ID, QUESTION.ANSWER_COUNT, QUESTION.COMMENT_COUNT)`."
revensif_Tinkoff_Course2024,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/dao/repository/jooq/JooqQuestionRepositoryTest.java,104,104,return dslContext.select(QUESTION.fields()),"Using `QUESTION.fields()` selects all columns from the QUESTION table, which fetches unnecessary data and couples the code to the table schema. Replace with explicit column selection like `dslContext.select(QUESTION.LINK_ID, QUESTION.ANSWER_COUNT, QUESTION.COMMENT_COUNT)`."
