Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
rockmanck_lifebook,ID Required,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Category.java,50,50,"public final TableField<CategoryRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'category_id'. Consider renaming the column to 'category_id' to make it self-documenting and avoid ambiguity in queries with joins.
rockmanck_lifebook,Beware of the Unknown,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Category.java,55,55,"public final TableField<CategoryRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(100), this, """");","The 'name' column is marked as NULLABLE but a category name should logically always have a value. Consider adding a NOT NULL constraint to this column to enforce data integrity, or if NULL is intentional, document why a category might not have a name."
rockmanck_lifebook,ID Required,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/ListItems.java,53,53,"public final TableField<ListItemsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named generically 'id' rather than a more descriptive name like 'list_item_id'. Consider renaming the primary key to 'list_item_id' to make it self-documenting and easier to identify in queries and joins.
rockmanck_lifebook,ID Required,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Lists.java,50,50,"public final TableField<ListsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is named generically as 'id' instead of a more descriptive name like 'list_id'. Consider renaming the column to 'list_id' to make it self-documenting and easier to understand in queries involving joins.
rockmanck_lifebook,Keyless Entry,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Lists.java,55,55,"public final TableField<ListsRecord, Integer> USER_ID = createField(DSL.name(""user_id""), SQLDataType.INTEGER, this, """");","The 'user_id' column appears to reference the Users table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Users table's primary key (USERS_ID_UK) to ensure referential integrity."
rockmanck_lifebook,Beware of the Unknown,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Lists.java,55,55,"public final TableField<ListsRecord, Integer> USER_ID = createField(DSL.name(""user_id""), SQLDataType.INTEGER, this, """");","The 'user_id' column is nullable but likely should always have a value since every list should belong to a user. Consider adding a NOT NULL constraint to ensure data integrity, or if NULL is intentional, document the semantic meaning of a NULL user_id."
rockmanck_lifebook,Beware of the Unknown,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Lists.java,60,60,"public final TableField<ListsRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(100), this, """");","The 'name' column is nullable but a list should always have a name. Consider adding a NOT NULL constraint to prevent lists without names, which would likely cause issues in the application."
rockmanck_lifebook,ID Required,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Moments.java,52,52,"public final TableField<MomentsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'moment_id' to make it more descriptive and avoid ambiguity in queries with joins."
rockmanck_lifebook,Keyless Entry,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Moments.java,67,67,"public final TableField<MomentsRecord, Integer> USER_ID = createField(DSL.name(""user_id""), SQLDataType.INTEGER.nullable(false), this, """");","The 'user_id' column appears to reference the Users table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the USERS_ID_UK unique key on the Users table."
rockmanck_lifebook,ID Required,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Plans.java,56,56,"public final TableField<PlansRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'plan_id'. Consider renaming the column to 'plan_id' to make it self-documenting and avoid ambiguity in queries with joins.
rockmanck_lifebook,Keyless Entry,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Plans.java,76,76,"public final TableField<PlansRecord, String> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR(10), this, """");","The 'status' column appears to reference the PlanStatus table (as indicated by the FKI_PLAN_STATUS_FK index), but no foreign key constraint is defined. Add a foreign key constraint referencing PlanStatus.CODE to ensure referential integrity."
rockmanck_lifebook,ID Required,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Reminders.java,54,54,"public final TableField<RemindersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'reminder_id'. Consider renaming the column to 'reminder_id' to make it self-documenting and avoid ambiguity in queries with joins.
rockmanck_lifebook,ID Required,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Tag.java,50,50,"public final TableField<TagRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'tag_id' to make it more descriptive and avoid ambiguity in queries with joins."
rockmanck_lifebook,Keyless Entry,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Tag.java,55,55,"public final TableField<TagRecord, Integer> USER_ID = createField(DSL.name(""user_id""), SQLDataType.INTEGER, this, """");","The 'user_id' column appears to reference the Users table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Users table's primary key (USERS_ID_UK) to ensure referential integrity."
rockmanck_lifebook,Keyless Entry,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/TagMomentRelation.java,47,47,"public final TableField<TagMomentRelationRecord, Integer> TAG_ID = createField(DSL.name(""tag_id""), SQLDataType.INTEGER, this, """");","The TAG_ID column appears to reference the Tag table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Tag.TAG.ID to ensure referential integrity."
rockmanck_lifebook,Keyless Entry,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/TagMomentRelation.java,52,52,"public final TableField<TagMomentRelationRecord, Integer> MOMENT_ID = createField(DSL.name(""moment_id""), SQLDataType.INTEGER, this, """");","The MOMENT_ID column appears to reference the Moments table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Moments.MOMENTS.ID to ensure referential integrity."
rockmanck_lifebook,Keyless Entry,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/TagPlanRelation.java,47,47,"public final TableField<TagPlanRelationRecord, Integer> TAG_ID = createField(DSL.name(""tag_id""), SQLDataType.INTEGER, this, """");","The TAG_ID column appears to reference the Tag table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Tag.TAG.ID (TAG_PKEY) to ensure referential integrity."
rockmanck_lifebook,Keyless Entry,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/TagPlanRelation.java,52,52,"public final TableField<TagPlanRelationRecord, Integer> PLAN_ID = createField(DSL.name(""plan_id""), SQLDataType.INTEGER, this, """");","The PLAN_ID column appears to reference the Plans table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Plans.PLANS.ID (PLANS_PK) to ensure referential integrity."
rockmanck_lifebook,ID Required,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/Users.java,53,53,"public final TableField<UsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'user_id'. Additionally, a synthetic auto-increment primary key is used even though the LOGIN column (which is part of the composite primary key USER_PK) could serve as a natural key. Consider renaming the column to 'user_id' or using LOGIN as the primary key if it's guaranteed to be unique and immutable."
rockmanck_lifebook,Keyless Entry,infrastructure/postgres-db/generated-src/jooq/main/pp/ua/lifebook/storage/db/scheme/tables/UserSettings.java,54,54,"public final TableField<UserSettingsRecord, Integer> USER_ID = createField(DSL.name(""user_id""), SQLDataType.INTEGER.nullable(false), this, """");","The USER_ID column appears to reference the Users table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Keys.USERS_ID_UK to ensure referential integrity."
rockmanck_lifebook,Implicit Columns,infrastructure/postgres-db/src/main/java/pp/ua/lifebook/db/list/ListsRepository.java,39,39,return dslContext.select(),"Using select() without specifying columns fetches all columns from the LISTS table, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns, e.g., select(LISTS.ID, LISTS.NAME, LISTS.USER_ID, LISTS.DELETED)."
rockmanck_lifebook,Implicit Columns,infrastructure/postgres-db/src/main/java/pp/ua/lifebook/db/list/ListsRepository.java,52,52,return dslContext.select(),Using select() without specifying columns fetches all columns from the LIST_ITEMS table. Explicitly specify only the columns needed for the ListItems mapping to improve query efficiency.
rockmanck_lifebook,Implicit Columns,infrastructure/postgres-db/src/main/java/pp/ua/lifebook/db/list/ListsRepository.java,101,101,final Record listRecord = dslContext.select(),Using select() without specifying columns fetches all columns from the LISTS table. Explicitly list only the columns required for the Lists class mapping.
rockmanck_lifebook,Implicit Columns,infrastructure/postgres-db/src/main/java/pp/ua/lifebook/db/list/ListsRepository.java,125,125,return dslContext.select(),Using select() without specifying columns fetches all columns from both LISTS and LIST_ITEMS tables in the join. Explicitly specify only the columns needed for the ListsRecord and ListItemsRecord mappings.
rockmanck_lifebook,Poor Man's Search Engine,infrastructure/postgres-db/src/main/java/pp/ua/lifebook/db/tag/DbTagRepository.java,30,30,".where(DSL.lower(TAG.NAME).like(""%"" + term + ""%""))",Using LIKE with wildcards on both sides for searching tag names performs poorly on large datasets and cannot use indexes. Consider using a full-text search engine like PostgreSQL's tsvector/tsquery or Elasticsearch for better performance.
rockmanck_lifebook,Implicit Columns,infrastructure/postgres-db/src/main/java/pp/ua/lifebook/db/tag/DbTagRepository.java,28,28,return dsl.select(),"Using select() without specifying columns fetches all columns from the TAG table, which can retrieve unnecessary data. Explicitly specify only the required columns like TAG.ID, TAG.NAME, and TAG.USER_ID."
rockmanck_lifebook,Implicit Columns,infrastructure/postgres-db/src/main/java/pp/ua/lifebook/db/user/UsersDbStorage.java,114,114,UsersRecord user = dslContext.select(),"Using `select()` without specifying columns fetches all columns from the USERS table, which can retrieve unnecessary data and impact performance. Replace with `selectFrom(USERS)` or explicitly list only the required columns like `select(USERS.ID, USERS.LOGIN, ...)`."
