Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
rodano_rodano,ID Required,backend/src/main/java/ch/rodano/core/model/jooq/tables/Chart.java,58,58,"public final TableField<ChartRecord, Long> PK = createField(DSL.name(""pk""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a synthetic auto-increment primary key 'pk' while having a natural unique identifier 'chart_id' (VARCHAR(100), NOT NULL) that could serve as the primary key. Consider using 'chart_id' as the primary key instead of the synthetic 'pk' column."
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/ChartCategory.java,61,61,"public final TableField<ChartCategoryRecord, Long> CHART_FK = createField(DSL.name(""chart_fk""), SQLDataType.BIGINT.nullable(false), this, """");","The column 'chart_fk' appears to reference the Chart table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing the Chart table's primary key (KEY_CHART_PRIMARY)."
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/ChartColor.java,61,61,"public final TableField<ChartColorRecord, Long> CHART_FK = createField(DSL.name(""chart_fk""), SQLDataType.BIGINT.nullable(false), this, """");","The column 'chart_fk' appears to reference the Chart table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing Keys.KEY_CHART_PRIMARY to ensure referential integrity."
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/ChartState.java,61,61,"public final TableField<ChartStateRecord, Long> CHART_FK = createField(DSL.name(""chart_fk""), SQLDataType.BIGINT.nullable(false), this, """");","The column 'chart_fk' appears to reference the Chart table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing Keys.KEY_CHART_PRIMARY to ensure referential integrity."
rodano_rodano,ID Required,backend/src/main/java/ch/rodano/core/model/jooq/tables/Dataset.java,71,71,"public final TableField<DatasetRecord, Long> PK = createField(DSL.name(""pk""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a synthetic auto-increment primary key 'pk' even though there's already a unique constraint on the 'id' column (KEY_DATASET_U_DATASET_ID) which could serve as a natural primary key. Consider using the 'id' column as the primary key instead of introducing a surrogate key.
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/DatasetAudit.java,119,119,"public final TableField<DatasetAuditRecord, Long> SCOPE_FK = createField(DSL.name(""scope_fk""), SQLDataType.BIGINT.defaultValue(DSL.field(DSL.raw(""NULL""), SQLDataType.BIGINT)), this, """");","The SCOPE_FK column appears to reference the Scope table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Scope table's primary key (KEY_SCOPE_PRIMARY)."
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/DatasetAudit.java,124,124,"public final TableField<DatasetAuditRecord, Long> EVENT_FK = createField(DSL.name(""event_fk""), SQLDataType.BIGINT.defaultValue(DSL.field(DSL.raw(""NULL""), SQLDataType.BIGINT)), this, """");","The EVENT_FK column appears to reference the Event table but lacks a foreign key constraint, which could allow invalid event references to be stored. Add a foreign key constraint referencing the Event table's primary key (KEY_EVENT_PRIMARY)."
rodano_rodano,ID Required,backend/src/main/java/ch/rodano/core/model/jooq/tables/Event.java,72,72,"public final TableField<EventRecord, Long> PK = createField(DSL.name(""pk""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a synthetic auto-increment primary key 'pk' even though there's already a unique constraint on the 'id' column (KEY_EVENT_U_EVENT_ID) which could serve as a natural primary key. Consider using the 'id' column as the primary key instead of introducing a surrogate key.
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/EventAudit.java,119,119,"public final TableField<EventAuditRecord, Long> SCOPE_FK = createField(DSL.name(""scope_fk""), SQLDataType.BIGINT.nullable(false), this, """");","The SCOPE_FK column appears to reference the Scope table (based on naming convention and the existence of KEY_SCOPE_PRIMARY), but no foreign key constraint is defined for it in the Keys class. Add a foreign key constraint referencing the Scope table's primary key to ensure referential integrity."
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/FieldAudit.java,109,109,"public final TableField<FieldAuditRecord, Long> DATASET_FK = createField(DSL.name(""dataset_fk""), SQLDataType.BIGINT.nullable(false), this, """");","The column DATASET_FK appears to reference the Dataset table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Dataset table's primary key (KEY_DATASET_PRIMARY)."
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/File.java,104,104,"public final TableField<FileRecord, Long> TRAIL_FK = createField(DSL.name(""trail_fk""), SQLDataType.BIGINT.defaultValue(DSL.field(DSL.raw(""NULL""), SQLDataType.BIGINT)), this, """");","The column 'trail_fk' appears to reference another table but has no foreign key constraint defined in the Keys class, which could lead to orphaned records and data integrity issues. Consider adding a foreign key constraint to the appropriate primary key (likely KEY_AUDIT_ACTION_PRIMARY based on naming conventions)."
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/FormAudit.java,114,114,"public final TableField<FormAuditRecord, Long> SCOPE_FK = createField(DSL.name(""scope_fk""), SQLDataType.BIGINT.defaultValue(DSL.field(DSL.raw(""NULL""), SQLDataType.BIGINT)), this, """");","The SCOPE_FK column appears to reference the Scope table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Scope table's primary key (KEY_SCOPE_PRIMARY)."
rodano_rodano,Keyless Entry,backend/src/main/java/ch/rodano/core/model/jooq/tables/FormAudit.java,119,119,"public final TableField<FormAuditRecord, Long> EVENT_FK = createField(DSL.name(""event_fk""), SQLDataType.BIGINT.defaultValue(DSL.field(DSL.raw(""NULL""), SQLDataType.BIGINT)), this, """");","The EVENT_FK column appears to reference the Event table but lacks a foreign key constraint, which could allow invalid event references to be stored. Add a foreign key constraint referencing the Event table's primary key (KEY_EVENT_PRIMARY)."
rodano_rodano,31 Flavors,backend/src/main/java/ch/rodano/core/model/jooq/tables/PaymentBatch.java,97,97,"public final TableField<PaymentBatchRecord, String> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR(50).defaultValue(DSL.field(DSL.raw(""NULL""), SQLDataType.VARCHAR)), this, """");","The STATUS column appears to store a limited set of status values directly in the column, which makes it difficult to add new statuses or maintain consistency. Consider creating a separate lookup table for payment batch statuses and referencing it via a foreign key."
rodano_rodano,Rounding Errors,backend/src/main/java/ch/rodano/core/model/jooq/tables/PaymentTarget.java,97,97,"public final TableField<PaymentTargetRecord, Double> VALUE = createField(DSL.name(""value""), SQLDataType.FLOAT.nullable(false), this, """");","The 'value' column uses FLOAT type which can cause precision loss for monetary or fixed-precision values. Use DECIMAL or NUMERIC type instead to ensure accurate calculations, e.g., SQLDataType.DECIMAL(19, 4)."
rodano_rodano,ID Required,backend/src/main/java/ch/rodano/core/model/jooq/tables/Resource.java,68,68,"public final TableField<ResourceRecord, Long> PK = createField(DSL.name(""pk""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic primary key 'pk' even though there's already a unique constraint on 'uuid' (KEY_RESOURCE_U_RESOURCE_UUID), which is immutable by nature and could serve as a natural primary key. Consider using the UUID column as the primary key instead of introducing a surrogate key."
rodano_rodano,ID Required,backend/src/main/java/ch/rodano/core/model/jooq/tables/Robot.java,78,78,"public final TableField<RobotRecord, Long> PK = createField(DSL.name(""pk""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key 'pk' while unique constraints on 'key' and 'name' columns already exist (KEY_ROBOT_U_ROBOT_KEY, KEY_ROBOT_U_ROBOT_NAME). Consider using the 'key' column as a natural primary key since it's already unique and immutable by nature, eliminating the need for the synthetic 'pk' column."
