Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
serdeliverance_turro-lingo-api,ID Required,src/jooq/java/io/github/sd3v/mflashcardsbe/jooq/tables/Deck.java,56,56,"public final TableField<DeckRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'deck_id'. Consider renaming the primary key to 'deck_id' to make it self-documenting and easier to identify in queries and foreign key relationships.
serdeliverance_turro-lingo-api,ID Required,src/jooq/java/io/github/sd3v/mflashcardsbe/jooq/tables/Flashcard.java,58,58,"public final TableField<FlashcardRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'flashcard_id' to make it more descriptive and to avoid ambiguity in queries with joins."
serdeliverance_turro-lingo-api,ID Required,src/jooq/java/io/github/sd3v/mflashcardsbe/jooq/tables/Noun.java,56,56,"public final TableField<NounRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'noun_id'. Consider renaming the primary key to 'noun_id' to make it more meaningful and to simplify JOIN queries where multiple tables are involved.
serdeliverance_turro-lingo-api,Implicit Columns,src/main/java/io/github/sd3v/mflashcardsbe/repository/DeckRepository.java,23,23,create.select().from(DECK),"Using select() without specifying columns fetches all columns from the DECK table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., create.select(DECK.ID, DECK.SLUG, DECK.NAME).from(DECK)."
serdeliverance_turro-lingo-api,Implicit Columns,src/main/java/io/github/sd3v/mflashcardsbe/repository/DeckRepository.java,27,27,create.select().from(DECK),Using select() without specifying columns fetches all columns from the DECK table. Explicitly list only the columns needed for DeckEntity to improve query efficiency.
serdeliverance_turro-lingo-api,Implicit Columns,src/main/java/io/github/sd3v/mflashcardsbe/repository/DeckRepository.java,47,47,create.select().from(DECK),Using select() without specifying columns fetches all columns from the DECK table. Specify only the columns required for DeckEntity to avoid retrieving unnecessary data.
serdeliverance_turro-lingo-api,Implicit Columns,src/main/java/io/github/sd3v/mflashcardsbe/repository/FlashcardRepository.java,34,34,.select(),"Using select() without specifying columns fetches all columns from the FLASHCARD table, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns, e.g., .select(FLASHCARD.ID, FLASHCARD.FRONT, FLASHCARD.BACK, FLASHCARD.DECK_ID)."
serdeliverance_turro-lingo-api,Implicit Columns,src/main/java/io/github/sd3v/mflashcardsbe/repository/FlashcardRepository.java,60,60,.select(),"Using select() without specifying columns fetches all columns from the FLASHCARD table, which may include unnecessary data. Explicitly specify only the columns needed for FlashcardEntity, e.g., .select(FLASHCARD.ID, FLASHCARD.FRONT, FLASHCARD.BACK, FLASHCARD.DECK_ID)."
serdeliverance_turro-lingo-api,Implicit Columns,src/main/java/io/github/sd3v/mflashcardsbe/repository/NounRepository.java,23,23,create.select().from(NOUN),"Using select() without specifying columns fetches all columns from the NOUN table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., create.select(NOUN.ID, NOUN.NAME, ...).from(NOUN)."
serdeliverance_turro-lingo-api,Implicit Columns,src/main/java/io/github/sd3v/mflashcardsbe/repository/NounRepository.java,27,27,create.select().from(NOUN),"Using select() without specifying columns fetches all columns from the NOUN table, retrieving potentially unnecessary data. Specify only the columns needed for NounEntity, e.g., create.select(NOUN.ID, NOUN.NAME, ...).from(NOUN)."
