Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
shileishmily_spring-boot-jooq-demo,ID Required,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysLog.java,60,60,"public final TableField<SysLogRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'sys_log_id' or 'log_id' to make it more descriptive and avoid ambiguity in queries with joins."
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysLog.java,65,65,"public final TableField<SysLogRecord, String> IP_ADDRESS = createField(""ip_address"", org.jooq.impl.SQLDataType.VARCHAR(50).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The IP_ADDRESS column uses an empty string as a default value instead of NULL to represent missing data. Use NULL to properly indicate unknown or missing IP addresses, as empty strings can be confused with intentionally blank values."
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysLog.java,75,75,"public final TableField<SysLogRecord, String> USER_NAME = createField(""user_name"", org.jooq.impl.SQLDataType.VARCHAR(50).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The USER_NAME column uses an empty string as a default value instead of NULL to represent missing data. Use NULL to properly indicate unknown or missing user names, as empty strings can be confused with intentionally blank values."
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysLog.java,80,80,"public final TableField<SysLogRecord, String> MODULE_NAME = createField(""module_name"", org.jooq.impl.SQLDataType.VARCHAR(50).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The MODULE_NAME column uses an empty string as a default value instead of NULL to represent missing data. Use NULL to properly indicate unknown or missing module names, as empty strings can be confused with intentionally blank values."
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysLog.java,85,85,"public final TableField<SysLogRecord, String> METHOD_NAME = createField(""method_name"", org.jooq.impl.SQLDataType.VARCHAR(50).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The METHOD_NAME column uses an empty string as a default value instead of NULL to represent missing data. Use NULL to properly indicate unknown or missing method names, as empty strings can be confused with intentionally blank values."
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysLog.java,90,90,"public final TableField<SysLogRecord, String> METHOD_DESC = createField(""method_desc"", org.jooq.impl.SQLDataType.VARCHAR(100).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The METHOD_DESC column uses an empty string as a default value instead of NULL to represent missing data. Use NULL to properly indicate unknown or missing method descriptions, as empty strings can be confused with intentionally blank values."
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysLog.java,95,95,"public final TableField<SysLogRecord, String> OPER_CONTENT = createField(""oper_content"", org.jooq.impl.SQLDataType.VARCHAR(6000).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The OPER_CONTENT column uses an empty string as a default value instead of NULL to represent missing data. Use NULL to properly indicate unknown or missing operation content, as empty strings can be confused with intentionally blank values."
shileishmily_spring-boot-jooq-demo,ID Required,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysUser.java,60,60,"public final TableField<SysUserRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'user_id' or 'sys_user_id' to make it more descriptive and avoid ambiguity in queries with joins."
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysUser.java,65,65,"public final TableField<SysUserRecord, String> USER_NAME = createField(""user_name"", org.jooq.impl.SQLDataType.VARCHAR(100).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The USER_NAME column uses an empty string as a default value instead of NULL to represent missing data, which makes it difficult to distinguish between intentionally empty values and missing values. Consider using NULL as the default or making the column NOT NULL if a username is always required."
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysUser.java,70,70,"public final TableField<SysUserRecord, String> REAL_NAME = createField(""real_name"", org.jooq.impl.SQLDataType.VARCHAR(100).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");",The REAL_NAME column uses an empty string as a default value instead of NULL to represent missing data. Consider using NULL as the default to properly indicate when a real name has not been provided.
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysUser.java,75,75,"public final TableField<SysUserRecord, String> EMAIL = createField(""email"", org.jooq.impl.SQLDataType.VARCHAR(100).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");",The EMAIL column uses an empty string as a default value instead of NULL to represent missing data. Consider using NULL as the default to properly indicate when an email address has not been provided.
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysUser.java,80,80,"public final TableField<SysUserRecord, String> PHONE = createField(""phone"", org.jooq.impl.SQLDataType.VARCHAR(15).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");",The PHONE column uses an empty string as a default value instead of NULL to represent missing data. Consider using NULL as the default to properly indicate when a phone number has not been provided.
shileishmily_spring-boot-jooq-demo,Fear of the Unknown,test-core/src/main/java/com/suixingpay/jooq/entity/tables/SysUser.java,85,85,"public final TableField<SysUserRecord, String> PSWD = createField(""pswd"", org.jooq.impl.SQLDataType.VARCHAR(32).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");",The PSWD column uses an empty string as a default value instead of NULL to represent missing data. Consider using NULL as the default or making the column NOT NULL if a password is always required.
shileishmily_spring-boot-jooq-demo,Implicit Columns,test-dao/src/main/java/com/suixingpay/jooq/dao/impl/SysUserDaoImpl.java,23,23,"return this.dsl.selectFrom(table()).where(""user_name=?"", userName).fetchOne();","Using `selectFrom(table())` fetches all columns from the SYS_USER table, which may retrieve unnecessary data. Specify only the required columns explicitly using `select(column1, column2, ...).from(table())`."
shileishmily_spring-boot-jooq-demo,Implicit Columns,test-dao/src/main/java/com/suixingpay/jooq/dao/impl/SysUserDaoImpl.java,28,28,"return this.dsl.selectFrom(table()).where(""real_name=?"", realName).fetch();","Using `selectFrom(table())` fetches all columns from the SYS_USER table, which may retrieve unnecessary data. Specify only the required columns explicitly using `select(column1, column2, ...).from(table())`."
shileishmily_spring-boot-jooq-demo,Implicit Columns,test-dao/src/main/java/com/suixingpay/jooq/dao/impl/SysUserDaoImpl.java,33,33,"return this.dsl.selectFrom(table()).where(""phone = ?"", phone).fetch().map(record -> {","Using `selectFrom(table())` fetches all columns from the SYS_USER table, which may retrieve unnecessary data. Specify only the required columns explicitly using `select(column1, column2, ...).from(table())`."
