Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
sjucker_referee-coach-probasket,ID Required,src/main/java/ch/refereecoach/probasket/jooq/tables/Login.java,63,63,"public final TableField<LoginRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'login_id'. Consider renaming the column to 'login_id' to make foreign key references self-documenting and avoid ambiguity in queries with multiple joined tables.
sjucker_referee-coach-probasket,Fear of the Unknown,src/main/java/ch/refereecoach/probasket/jooq/tables/Login.java,88,88,"public final TableField<LoginRecord, Boolean> REFEREE_COACH = createField(DSL.name(""referee_coach""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The REFEREE_COACH column has a default value but is still marked as NULLABLE, which means it can never practically be NULL yet allows NULL values. Add a NOT NULL constraint to this column to enforce data integrity."
sjucker_referee-coach-probasket,Fear of the Unknown,src/main/java/ch/refereecoach/probasket/jooq/tables/Login.java,93,93,"public final TableField<LoginRecord, Boolean> REFEREE = createField(DSL.name(""referee""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The REFEREE column has a default value but is still marked as NULLABLE, which means it can never practically be NULL yet allows NULL values. Add a NOT NULL constraint to this column to enforce data integrity."
sjucker_referee-coach-probasket,Fear of the Unknown,src/main/java/ch/refereecoach/probasket/jooq/tables/Login.java,98,98,"public final TableField<LoginRecord, Boolean> TRAINER_COACH = createField(DSL.name(""trainer_coach""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The TRAINER_COACH column has a default value but is still marked as NULLABLE, which means it can never practically be NULL yet allows NULL values. Add a NOT NULL constraint to this column to enforce data integrity."
sjucker_referee-coach-probasket,Fear of the Unknown,src/main/java/ch/refereecoach/probasket/jooq/tables/Login.java,103,103,"public final TableField<LoginRecord, Boolean> TRAINER = createField(DSL.name(""trainer""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The TRAINER column has a default value but is still marked as NULLABLE, which means it can never practically be NULL yet allows NULL values. Add a NOT NULL constraint to this column to enforce data integrity."
sjucker_referee-coach-probasket,Fear of the Unknown,src/main/java/ch/refereecoach/probasket/jooq/tables/Login.java,108,108,"public final TableField<LoginRecord, Boolean> ADMIN = createField(DSL.name(""admin""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The ADMIN column has a default value but is still marked as NULLABLE, which means it can never practically be NULL yet allows NULL values. Add a NOT NULL constraint to this column to enforce data integrity."
sjucker_referee-coach-probasket,Fear of the Unknown,src/main/java/ch/refereecoach/probasket/jooq/tables/Login.java,118,118,"public final TableField<LoginRecord, Boolean> ACTIVE = createField(DSL.name(""active""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The ACTIVE column has a default value but is still marked as NULLABLE, which means it can never practically be NULL yet allows NULL values. Add a NOT NULL constraint to this column to enforce data integrity."
sjucker_referee-coach-probasket,Fear of the Unknown,src/main/java/ch/refereecoach/probasket/jooq/tables/Login.java,123,123,"public final TableField<LoginRecord, Boolean> REFEREE_COACH_PLUS = createField(DSL.name(""referee_coach_plus""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The REFEREE_COACH_PLUS column has a default value but is still marked as NULLABLE, which means it can never practically be NULL yet allows NULL values. Add a NOT NULL constraint to this column to enforce data integrity."
sjucker_referee-coach-probasket,ID Required,src/main/java/ch/refereecoach/probasket/jooq/tables/Report.java,69,69,"public final TableField<ReportRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name. Consider renaming it to 'report_id' to make it more meaningful and to avoid ambiguity in queries with joins."
sjucker_referee-coach-probasket,ID Required,src/main/java/ch/refereecoach/probasket/jooq/tables/ReportComment.java,65,65,"public final TableField<ReportCommentRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'report_comment_id'. Consider renaming the column to 'report_comment_id' to make it self-documenting and avoid ambiguity in joins.
sjucker_referee-coach-probasket,ID Required,src/main/java/ch/refereecoach/probasket/jooq/tables/ReportCriteria.java,63,63,"public final TableField<ReportCriteriaRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'report_criteria_id'. Consider renaming the column to something more meaningful that identifies what entity it represents, such as 'report_criteria_id'."
sjucker_referee-coach-probasket,Keyless Entry,src/main/java/ch/refereecoach/probasket/jooq/tables/ReportLastRead.java,56,56,"public final TableField<ReportLastReadRecord, Long> REPORT_ID = createField(DSL.name(""report_id""), SQLDataType.BIGINT.nullable(false), this, """");","The REPORT_ID column references the Report table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing Keys.PK__REPORT to ensure data consistency."
sjucker_referee-coach-probasket,Keyless Entry,src/main/java/ch/refereecoach/probasket/jooq/tables/ReportLastRead.java,61,61,"public final TableField<ReportLastReadRecord, Long> USER_ID = createField(DSL.name(""user_id""), SQLDataType.BIGINT.nullable(false), this, """");","The USER_ID column appears to reference the Login table (users) but lacks a foreign key constraint, risking referential integrity violations. Add a foreign key constraint referencing Keys.PK__LOGIN to maintain data consistency."
sjucker_referee-coach-probasket,ID Required,src/main/java/ch/refereecoach/probasket/jooq/tables/ReportVideoComment.java,69,69,"public final TableField<ReportVideoCommentRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'report_video_comment_id'. Consider renaming the column to 'report_video_comment_id' to make it self-documenting and avoid ambiguity in joins.
sjucker_referee-coach-probasket,ID Required,src/main/java/ch/refereecoach/probasket/jooq/tables/ReportVideoCommentReply.java,65,65,"public final TableField<ReportVideoCommentReplyRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'report_video_comment_reply_id' to make it self-documenting and avoid ambiguity in joins."
sjucker_referee-coach-probasket,ID Required,src/main/java/ch/refereecoach/probasket/jooq/tables/Tag.java,62,62,"public final TableField<TagRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as the primary key instead of a more descriptive name. Consider renaming the primary key to something more meaningful like 'tag_id' to improve clarity and avoid ambiguity in joins.
sjucker_referee-coach-probasket,Poor Man's Search Engine,src/main/java/ch/refereecoach/probasket/service/admin/AdminUserService.java,44,44,condition = condition.and(LOGIN.FIRSTNAME.containsIgnoreCase(filter).or(LOGIN.LASTNAME.containsIgnoreCase(filter)));,Using containsIgnoreCase performs a LIKE '%filter%' search which cannot use indexes efficiently and degrades performance on large tables. Consider implementing a full-text search solution using PostgreSQL's tsvector/tsquery or a dedicated search engine like Elasticsearch.
sjucker_referee-coach-probasket,Implicit Columns,src/main/java/ch/refereecoach/probasket/service/admin/AdminUserService.java,47,47,var items = jooqDsl.selectFrom(LOGIN),"Using selectFrom(LOGIN) fetches all columns from the LOGIN table, which may retrieve unnecessary data and impact performance. Explicitly select only the columns needed for the UserDTO mapping."
sjucker_referee-coach-probasket,Implicit Columns,src/main/java/ch/refereecoach/probasket/service/auth/BasketplanAuthenticationProvider.java,52,52,var login = loginDao.fetchOptionalById(userId),"The generated DAO's fetchOptionalById method fetches all columns from the login table, even though only a subset of columns (id, active, lastLogin, username, and the role flags) are actually used. Consider using a custom jOOQ query that selects only the required columns."
sjucker_referee-coach-probasket,Implicit Columns,src/main/java/ch/refereecoach/probasket/service/basketplan/BasketplanUserSyncService.java,44,44,var existingPerId = loginDao.findAll().stream(),"The `findAll()` method on the generated DAO fetches all columns from the login table, which may retrieve unnecessary data and impact performance. Consider using a custom query that selects only the required columns (id, email, firstname, lastname, active, admin, rank) or use jOOQ's DSL to project specific fields."
