Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/AppPage.java,54,54,"public final TableField<AppPageRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'app_page_id'. Consider renaming to 'app_page_id' to make foreign key references self-documenting and avoid ambiguity in joins.
sjucker_zkmf2024-server,Beware of the Unknown,src/main/java/ch/zkmf2024/server/jooq/generated/tables/AppPage.java,69,69,"public final TableField<AppPageRecord, String> TITLE = createField(DSL.name(""title""), SQLDataType.VARCHAR(255).nullable(false).defaultValue(DSL.field(DSL.raw(""''::character varying""), SQLDataType.VARCHAR)), this, """");","The 'title' column uses an empty string as a default value instead of allowing NULL for missing values. This makes it difficult to distinguish between intentionally empty titles and missing data. Consider allowing NULL if the title is optional, or require a meaningful value if it's mandatory."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/CurrentlyPlaying.java,61,61,"public final TableField<CurrentlyPlayingRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'currently_playing_id'. Consider renaming the column to better reflect its purpose and the table it belongs to.
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/EmergencyMessage.java,53,53,"public final TableField<EmergencyMessageRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'emergency_message_id' to make it more descriptive and avoid ambiguity in queries with joins.
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Errata.java,55,55,"public final TableField<ErrataRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a synthetic auto-increment 'id' column as primary key, but there's already a unique constraint (UQ_ERRATA) on (MODUL, KLASSE, BESETZUNG) which could serve as a natural composite primary key. Consider using the existing unique constraint as the primary key instead of the synthetic 'id' column."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/FestprogrammEntry.java,55,55,"public final TableField<FestprogrammEntryRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'festprogramm_entry_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'festprogramm_entry_id'."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/HelperRegistration.java,57,57,"public final TableField<HelperRegistrationRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while having a unique constraint on 'email' which could serve as a natural primary key. Consider using 'email' as the primary key since it's already unique and meaningful, or rename 'id' to something more descriptive like 'helper_registration_id'."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Image.java,54,54,"public final TableField<ImageRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'image_id' to make it more descriptive and to avoid ambiguity in queries with joins.
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Judge.java,60,60,"public final TableField<JudgeRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key despite having a unique constraint on 'email', which is a natural key suitable for identifying judges. Consider using 'email' as the primary key or renaming the synthetic key to something more descriptive like 'judge_id'."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/JudgeReport.java,68,68,"public final TableField<JudgeReportRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint (UQ_JUDGE_REPORT) exists on (FK_JUDGE, FK_TIMETABLE_ENTRY, CATEGORY) which could serve as a composite primary key. Consider using the unique constraint columns as the primary key or renaming the column to 'judge_report_id' for clarity."
sjucker_zkmf2024-server,Beware of the Unknown,src/main/java/ch/zkmf2024/server/jooq/generated/tables/JudgeReport.java,103,103,"public final TableField<JudgeReportRecord, String> ROLE = createField(DSL.name(""role""), SQLDataType.VARCHAR(255).defaultValue(DSL.field(DSL.raw(""''::character varying""), SQLDataType.VARCHAR)), this, """");","The ROLE column uses an empty string as a default value instead of NULL to represent missing data, which conflates 'no value provided' with 'intentionally empty'. Consider using NULL as the default and making the column nullable, or ensure the empty string has a specific semantic meaning in the application."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/JudgeReportRating.java,64,64,"public final TableField<JudgeReportRatingRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key despite having a natural unique constraint on (fk_judge_report, fk_titel, category) that could serve as a composite primary key. Consider using the existing unique constraint as the primary key or renaming the 'id' column to something more descriptive like 'judge_report_rating_id'."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Kontakt.java,58,58,"public final TableField<KontaktRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'kontakt_id'. Consider renaming to 'kontakt_id' to make foreign key relationships more self-documenting and avoid ambiguity in joins.
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Location.java,66,66,"public final TableField<LocationRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'location_id' to make it more descriptive and self-documenting when used in joins and foreign key references.
sjucker_zkmf2024-server,31 Flavors,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Location.java,91,91,"public final TableField<LocationRecord, LocationLocationType> LOCATION_TYPE = createField(DSL.name(""location_type""), SQLDataType.VARCHAR.asEnumDataType(LocationLocationType.class), this, """");","Using an ENUM type for location_type restricts the allowed values in the column definition, making it difficult to add or modify location types without schema changes. Consider creating a separate 'location_type' lookup table and referencing it with a foreign key."
sjucker_zkmf2024-server,Keyless Entry,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Location.java,151,151,"public final TableField<LocationRecord, Long> INSTRUMENTENDEPOT_PARADEMUSIK_ID = createField(DSL.name(""instrumentendepot_parademusik_id""), SQLDataType.BIGINT, this, """");","The column 'instrumentendepot_parademusik_id' appears to reference the location table (similar to einspiellokal_id, instrumentendepot_id, and juryfeedback_id which all have foreign keys) but lacks a foreign key constraint. Add a foreign key constraint referencing the location table to ensure referential integrity."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Ranking.java,62,62,"public final TableField<RankingRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'ranking_id'. Consider renaming to 'ranking_id' to make foreign key relationships more self-documenting and avoid ambiguity in joins.
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Screen.java,53,53,"public final TableField<ScreenRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'screen_id' to make it more descriptive and to avoid ambiguity in queries with joins.
sjucker_zkmf2024-server,Keyless Entry,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Screen.java,58,58,"public final TableField<ScreenRecord, String> LOCATION_IDENTIFIER = createField(DSL.name(""location_identifier""), SQLDataType.VARCHAR(255), this, """");","The 'location_identifier' column appears to reference the Location table (which has a unique key on 'identifier'), but lacks a foreign key constraint. Add a foreign key referencing Location.IDENTIFIER to ensure referential integrity."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Sponsor.java,53,53,"public final TableField<SponsorRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'sponsor_id' to make it more descriptive and to avoid ambiguity in queries with joins.
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/SurveyAnswer.java,54,54,"public final TableField<SurveyAnswerRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'survey_answer_id'. Consider renaming the column to something more meaningful that identifies what entity it represents.
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/TimetableEntry.java,69,69,"public final TableField<TimetableEntryRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'timetable_entry_id'. Consider renaming the column to something more meaningful that identifies what entity it represents.
sjucker_zkmf2024-server,31 Flavors,src/main/java/ch/zkmf2024/server/jooq/generated/tables/TimetableEntry.java,104,104,"public final TableField<TimetableEntryRecord, TimetableEntryType> ENTRY_TYPE = createField(DSL.name(""entry_type""), SQLDataType.VARCHAR.nullable(false).defaultValue(DSL.field(DSL.raw(""'WETTSPIEL'::timetable_entry_type""), SQLDataType.VARCHAR)).asEnumDataType(TimetableEntryType.class), this, """");","The 'entry_type' column uses an ENUM type to restrict allowed values, which makes it difficult to add or modify entry types without altering the database schema. Consider creating a separate lookup table (e.g., 'timetable_entry_type') to store the allowed values."
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/Titel.java,68,68,"public final TableField<TitelRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'titel_id'. Consider renaming the column to 'titel_id' to make foreign key relationships more self-documenting and to avoid ambiguity in queries with multiple joined tables.
sjucker_zkmf2024-server,ID Required,src/main/java/ch/zkmf2024/server/jooq/generated/tables/UnterhaltungEntry.java,63,63,"public final TableField<UnterhaltungEntryRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to something more descriptive like 'unterhaltung_entry_id' to make joins and queries more readable.
