Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/bed_types/BedTypeDaoImpl.java,29,29,return dsl.selectFrom(bt),"Using selectFrom(bt) fetches all columns from the BED_TYPES table, which may retrieve unnecessary data. Consider using an explicit select with only the columns needed for BedTypeDto, e.g., dsl.select(bt.ID, bt.NAME, ...).from(bt)."
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/bed_types/BedTypeDaoImpl.java,35,35,return dsl.selectFrom(bt),"Using selectFrom(bt) fetches all columns from the BED_TYPES table when only specific fields may be needed. Replace with an explicit column selection like dsl.select(bt.ID, bt.NAME, ...).from(bt) to fetch only required columns."
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/cities/CityDaoImpl.java,29,29,return dsl.selectFrom(c),"Using selectFrom(c) fetches all columns from the Cities table, which may retrieve unnecessary data. Consider using an explicit select with only the columns needed for CityDto, e.g., dsl.select(c.ID, c.NAME, ...).from(c)."
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/cities/CityDaoImpl.java,35,35,return dsl.selectFrom(c),"Using selectFrom(c) fetches all columns from the Cities table when only specific fields may be needed. Replace with an explicit column selection like dsl.select(c.ID, c.NAME, ...).from(c) to fetch only required columns."
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/countries/CountryDaoImpl.java,30,30,return dsl.selectFrom(c),"Using selectFrom(c) fetches all columns from the Countries table, which may retrieve unnecessary data. Consider using an explicit select with only the columns needed for CountryDto."
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/countries/CountryDaoImpl.java,36,36,return dsl.selectFrom(c),Using selectFrom(c) fetches all columns from the Countries table when only specific fields may be needed. Replace with an explicit select specifying only the required columns for CountryDto.
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/facilities/FacilityDaoImpl.java,29,29,return dsl.selectFrom(f),"Using selectFrom(f) fetches all columns from the Facilities table, which may retrieve unnecessary data. Consider using an explicit select() with only the columns needed for FacilityDto."
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/facilities/FacilityDaoImpl.java,35,35,return dsl.selectFrom(f),Using selectFrom(f) fetches all columns from the Facilities table when only specific fields may be needed. Replace with an explicit select() listing only the columns required for FacilityDto.
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/files/FileDaoImpl.java,24,24,return dsl.selectFrom(f),"Using selectFrom(f) fetches all columns from the Files table, which may retrieve unnecessary data. Consider using an explicit select() with only the columns needed for FileDto."
sogeking7_booking-hotel-app,Implicit Columns,dao/src/main/java/org/booking_hotel/daos/files/FileDaoImpl.java,30,30,return dsl.selectFrom(f),Using selectFrom(f) fetches all columns from the Files table when only specific fields may be needed. Replace with an explicit select() specifying only the required columns for FileDto.
