Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
spectuu_equipo-4-ings-202520,ID Required,server/medicod-server/src/main/java/com/medicod/database/tables/MedicodInventory.java,70,70,"public final TableField<MedicodInventoryRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on (USER_ID, MEDICATION_ID, LOT_CODE) that could serve as a natural composite primary key. Consider using this natural key as the primary key or renaming the synthetic key to something more descriptive like 'inventory_id'."
spectuu_equipo-4-ings-202520,ID Required,server/medicod-server/src/main/java/com/medicod/database/tables/MedicodMedications.java,64,64,"public final TableField<MedicodMedicationsRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'medication_id'. Consider renaming the column to 'medication_id' to make it self-documenting and avoid ambiguity in joins.
spectuu_equipo-4-ings-202520,ID Required,server/medicod-server/src/main/java/com/medicod/database/tables/MedicodReminders.java,69,69,"public final TableField<MedicodRemindersRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'reminder_id'. Consider renaming it to 'reminder_id' to make foreign key references more self-documenting and to avoid ambiguity in joins.
spectuu_equipo-4-ings-202520,31 Flavors,server/medicod-server/src/main/java/com/medicod/database/tables/MedicodReminders.java,84,84,"public final TableField<MedicodRemindersRecord, MedicodRemindersFrequency> FREQUENCY = createField(DSL.name(""frequency""), SQLDataType.VARCHAR(6).nullable(false).defaultValue(DSL.inline(""'daily'"", SQLDataType.VARCHAR)).asEnumDataType(MedicodRemindersFrequency.class), this, """");","The 'frequency' column uses an ENUM type to restrict allowed values, which makes adding or removing frequency options require a schema change. Consider creating a separate lookup table (e.g., 'reminder_frequencies') to store the allowed frequency values, allowing easier maintenance without DDL changes."
spectuu_equipo-4-ings-202520,ID Required,server/medicod-server/src/main/java/com/medicod/database/tables/MedicodUsers.java,66,66,"public final TableField<MedicodUsersRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is generic and doesn't convey meaning about the entity it identifies. Consider renaming it to 'user_id' to make it more descriptive and self-documenting in queries and foreign key references.
spectuu_equipo-4-ings-202520,31 Flavors,server/medicod-server/src/main/java/com/medicod/database/tables/MedicodUsers.java,86,86,"public final TableField<MedicodUsersRecord, MedicodUsersRole> ROLE = createField(DSL.name(""role""), SQLDataType.VARCHAR(5).nullable(false).defaultValue(DSL.inline(""'USER'"", SQLDataType.VARCHAR)).asEnumDataType(MedicodUsersRole.class), this, """");","The 'role' column uses an ENUM type to restrict allowed values, which makes adding or removing roles difficult without schema changes. Consider creating a separate 'roles' lookup table and referencing it with a foreign key for better flexibility."
spectuu_equipo-4-ings-202520,Fear of the Unknown,server/medicod-server/src/main/java/com/medicod/database/tables/MedicodUsers.java,96,96,"public final TableField<MedicodUsersRecord, LocalDateTime> UPDATED_AT = createField(DSL.name(""updated_at""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.inline(""NULL"", SQLDataType.LOCALDATETIME)), this, """");","The 'updated_at' column is marked as NULLABLE with a default of NULL, but it should likely be NOT NULL since it should always be set when a record is updated. Consider making it NOT NULL with a default of the current timestamp, or use a database trigger to automatically update it."
spectuu_equipo-4-ings-202520,Implicit Columns,server/medicod-server/src/main/java/medicod/domain/repository/account/impl/AccountRepositoryImpl.java,26,26,return context.selectFrom(MEDICOD_USERS).fetch();,"Using selectFrom() fetches all columns from the MEDICOD_USERS table, which retrieves unnecessary data and impacts performance. Consider explicitly selecting only the required columns using select(MEDICOD_USERS.ID, MEDICOD_USERS.NAME, ...).from(MEDICOD_USERS)."
spectuu_equipo-4-ings-202520,Implicit Columns,server/medicod-server/src/main/java/medicod/domain/repository/account/impl/AccountRepositoryImpl.java,31,31,return context.selectFrom(MEDICOD_USERS),"Using selectFrom() fetches all columns from the MEDICOD_USERS table for pagination, which may retrieve more data than needed. Consider explicitly selecting only the required columns using select(...).from(MEDICOD_USERS)."
spectuu_equipo-4-ings-202520,Implicit Columns,server/medicod-server/src/main/java/medicod/domain/repository/account/impl/AccountRepositoryImpl.java,39,39,return context.select(),"Using select() without specifying columns fetches all columns from the MEDICOD_USERS table. Consider explicitly listing the required columns, e.g., select(MEDICOD_USERS.ID, MEDICOD_USERS.NAME, ...)."
