Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
streamarr_streamarr-server,ID Required,src/main/java/com/streamarr/server/jooq/generated/tables/BaseCollectable.java,59,59,"public final TableField<BaseCollectableRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'base_collectable_id'. Consider renaming the column to 'base_collectable_id' to make it self-documenting and avoid ambiguity when joining tables.
streamarr_streamarr-server,ID Required,src/main/java/com/streamarr/server/jooq/generated/tables/Company.java,57,57,"public final TableField<CompanyRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'company_id'. Consider renaming the column to 'company_id' to make it self-documenting and to avoid ambiguity when joining tables.
streamarr_streamarr-server,ID Required,src/main/java/com/streamarr/server/jooq/generated/tables/Library.java,64,64,"public final TableField<LibraryRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'library_id'. Consider renaming the column to 'library_id' to make foreign key references more self-documenting and to avoid ambiguity in queries with multiple joined tables.
streamarr_streamarr-server,31 Flavors,src/main/java/com/streamarr/server/jooq/generated/tables/Library.java,109,109,"public final TableField<LibraryRecord, LibraryStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.streamarr.server.jooq.generated.enums.LibraryStatus.class), this, """");","The 'status' column uses an ENUM type (LibraryStatus) to restrict allowed values, which makes adding or removing status values difficult without schema changes. Consider creating a separate 'library_status' lookup table with a foreign key reference instead."
streamarr_streamarr-server,31 Flavors,src/main/java/com/streamarr/server/jooq/generated/tables/Library.java,114,114,"public final TableField<LibraryRecord, LibraryBackend> BACKEND = createField(DSL.name(""backend""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.streamarr.server.jooq.generated.enums.LibraryBackend.class), this, """");","The 'backend' column uses an ENUM type (LibraryBackend) to restrict allowed values, which makes schema modifications necessary when backend options change. Consider creating a separate 'library_backend' lookup table with a foreign key reference instead."
streamarr_streamarr-server,31 Flavors,src/main/java/com/streamarr/server/jooq/generated/tables/Library.java,119,119,"public final TableField<LibraryRecord, MediaType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.streamarr.server.jooq.generated.enums.MediaType.class), this, """");","The 'type' column uses an ENUM type (MediaType) to restrict allowed values, which requires schema changes to add new media types. Consider creating a separate 'media_type' lookup table with a foreign key reference instead."
streamarr_streamarr-server,Beware of the Unknown,src/main/java/com/streamarr/server/jooq/generated/tables/Library.java,84,84,"public final TableField<LibraryRecord, UUID> LAST_MODIFIED_BY = createField(DSL.name(""last_modified_by""), SQLDataType.UUID, this, """");","The 'last_modified_by' column is nullable but likely should have a value whenever 'last_modified_on' is set (which has a default). Consider making this column NOT NULL with a default value, or ensuring it's always populated when the record is modified."
streamarr_streamarr-server,ID Required,src/main/java/com/streamarr/server/jooq/generated/tables/MediaFile.java,62,62,"public final TableField<MediaFileRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'media_file_id'. Consider renaming the primary key to 'media_file_id' to make it self-documenting and easier to identify in queries involving multiple tables.
streamarr_streamarr-server,31 Flavors,src/main/java/com/streamarr/server/jooq/generated/tables/MediaFile.java,112,112,"public final TableField<MediaFileRecord, MediaFileStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.streamarr.server.jooq.generated.enums.MediaFileStatus.class), this, """");","The 'status' column uses an ENUM type to restrict allowed values, which makes adding or removing status values difficult and requires schema changes. Consider creating a separate 'media_file_status' lookup table with a foreign key reference instead."
streamarr_streamarr-server,ID Required,src/main/java/com/streamarr/server/jooq/generated/tables/Movie.java,58,58,"public final TableField<MovieRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'movie_id'. Consider renaming the column to 'movie_id' to make it self-documenting and avoid ambiguity in queries with joins.
