Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
sun-fintrack_fintrack-back,Keyless Entry,src/main/java/com/sun/fintrack/common/domain/jooq/sun/tables/Asset.java,67,67,"public final TableField<AssetRecord, Long> MB_SEQ = createField(DSL.name(""MB_SEQ""), SQLDataType.BIGINT.nullable(false), this, ""회원 일련번호"");","The MB_SEQ column appears to reference the Member table (based on the naming convention and the existence of KEY_MEMBER_PRIMARY on Member.MB_SEQ), but no foreign key constraint is defined. Add a foreign key constraint referencing the Member table's primary key to ensure referential integrity."
sun-fintrack_fintrack-back,Keyless Entry,src/main/java/com/sun/fintrack/common/domain/jooq/sun/tables/Category.java,72,72,"public final TableField<CategoryRecord, Long> MB_SEQ = createField(DSL.name(""MB_SEQ""), SQLDataType.BIGINT, this, ""회원 일련번호"");","The MB_SEQ column appears to reference the Member table (based on the naming convention and the existence of KEY_MEMBER_PRIMARY on Member.MB_SEQ), but no foreign key constraint is defined. Add a foreign key constraint referencing the Member table's primary key to ensure referential integrity."
sun-fintrack_fintrack-back,Keyless Entry,src/main/java/com/sun/fintrack/common/domain/jooq/sun/tables/Trade.java,57,57,"public final TableField<TradeRecord, Long> MB_SEQ = createField(DSL.name(""MB_SEQ""), SQLDataType.BIGINT.nullable(false), this, ""회원 일련번호"");","The MB_SEQ column references the Member table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the KEY_MEMBER_PRIMARY key on the Member table."
sun-fintrack_fintrack-back,Keyless Entry,src/main/java/com/sun/fintrack/common/domain/jooq/sun/tables/Trade.java,82,82,"public final TableField<TradeRecord, Long> AS_SEQ = createField(DSL.name(""AS_SEQ""), SQLDataType.BIGINT.nullable(false), this, ""자산 일련번호"");","The AS_SEQ column references the Asset table but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing the KEY_ASSET_PRIMARY key on the Asset table."
sun-fintrack_fintrack-back,Keyless Entry,src/main/java/com/sun/fintrack/common/domain/jooq/sun/tables/Trade.java,87,87,"public final TableField<TradeRecord, Long> CTG_SEQ = createField(DSL.name(""CTG_SEQ""), SQLDataType.BIGINT.nullable(false), this, ""카테고리 일련번호"");","The CTG_SEQ column references the Category table but lacks a foreign key constraint, which could allow invalid category references. Add a foreign key constraint referencing the KEY_CATEGORY_PRIMARY key on the Category table."
sun-fintrack_fintrack-back,Keyless Entry,src/main/java/com/sun/fintrack/common/domain/jooq/sun/tables/Transfer.java,57,57,"public final TableField<TransferRecord, Long> MB_SEQ = createField(DSL.name(""MB_SEQ""), SQLDataType.BIGINT.nullable(false), this, ""회원 일련번호"");",The MB_SEQ column references the Member table (as indicated by the naming convention and the existence of KEY_MEMBER_PRIMARY on Member.MB_SEQ) but lacks a foreign key constraint. Add a foreign key constraint referencing the Member table's MB_SEQ primary key to ensure referential integrity.
sun-fintrack_fintrack-back,Keyless Entry,src/main/java/com/sun/fintrack/common/domain/jooq/sun/tables/Transfer.java,77,77,"public final TableField<TransferRecord, Long> WTHDR_AS_SEQ = createField(DSL.name(""WTHDR_AS_SEQ""), SQLDataType.BIGINT.nullable(false), this, ""출금 자산 일련번호"");",The WTHDR_AS_SEQ column (withdrawal asset sequence) references the Asset table but lacks a foreign key constraint. Add a foreign key constraint referencing the Asset table's AS_SEQ primary key to maintain data integrity.
sun-fintrack_fintrack-back,Keyless Entry,src/main/java/com/sun/fintrack/common/domain/jooq/sun/tables/Transfer.java,82,82,"public final TableField<TransferRecord, Long> DPST_AS_SEQ = createField(DSL.name(""DPST_AS_SEQ""), SQLDataType.BIGINT.nullable(false), this, ""입금 자산 일련번호"");",The DPST_AS_SEQ column (deposit asset sequence) references the Asset table but lacks a foreign key constraint. Add a foreign key constraint referencing the Asset table's AS_SEQ primary key to ensure referential integrity.
sun-fintrack_fintrack-back,Poor Man's Search Engine,src/main/java/com/sun/fintrack/history/query/dao/HistoryListDao.java,87,87,".and(TRADE.TRD_CTT.like(""%"" + keyword + ""%""))","Using LIKE with wildcards on both sides for keyword search performs a full table scan and cannot use indexes efficiently. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery, Elasticsearch, or database-specific full-text indexes."
sun-fintrack_fintrack-back,Poor Man's Search Engine,src/main/java/com/sun/fintrack/history/query/dao/HistoryListDao.java,98,98,".and(TRANSFER.TRF_CTT.like(""%"" + keyword + ""%""))","Using LIKE with wildcards on both sides for keyword search performs a full table scan and cannot use indexes efficiently. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery, Elasticsearch, or database-specific full-text indexes."
