Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,697,697,"r = db.selectFrom(SUBSCRIPTIONS).where(SUBSCRIPTIONS.TENANT.eq(tenant),SUBSCRIPTIONS.OWNER.eq(owner),SUBSCRIPTIONS.NAME.eq(name)).fetchOne();","Using selectFrom(SUBSCRIPTIONS) fetches all columns from the SUBSCRIPTIONS table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed to construct the Subscription object."
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,737,737,"r = db.selectFrom(SUBSCRIPTIONS).where(SUBSCRIPTIONS.TENANT.eq(tenant),SUBSCRIPTIONS.UUID.eq(uuid)).fetchOne();",Using selectFrom(SUBSCRIPTIONS) fetches all columns from the SUBSCRIPTIONS table when only specific fields may be needed. Specify the required columns explicitly using select() to improve query efficiency.
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,1079,1079,org.jooq.SelectConditionStep condStep = db.selectFrom(SUBSCRIPTIONS).where(whereCondition);,Using selectFrom(SUBSCRIPTIONS) retrieves all columns from the table. Explicitly select only the columns required to build Subscription objects to reduce data transfer and improve performance.
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,1178,1178,results = db.selectFrom(SUBSCRIPTIONS).where(whereCondition).fetch();,Using selectFrom(SUBSCRIPTIONS) fetches all columns when retrieving subscriptions for an event. Specify only the necessary columns using select() to optimize the query.
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,1228,1228,results = db.selectFrom(SUBSCRIPTIONS).where(whereCondition).fetch();,Using selectFrom(SUBSCRIPTIONS) retrieves all columns when fetching expired subscriptions. Use explicit column selection with select() to fetch only the required data.
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,1354,1354,Result<NotificationsRecord> results = db.selectFrom(NOTIFICATIONS),Using selectFrom(NOTIFICATIONS) fetches all columns from the NOTIFICATIONS table. Explicitly select only the columns needed to construct Notification objects.
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,1402,1402,Result<NotificationsRecord> results = db.selectFrom(NOTIFICATIONS),Using selectFrom(NOTIFICATIONS) retrieves all columns from the table. Specify only the required columns using select() to improve query performance.
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,1486,1486,"r = db.selectFrom(NOTIFICATIONS).where(NOTIFICATIONS.TENANT.eq(tenant),NOTIFICATIONS.UUID.eq(uuid)).fetchOne();",Using selectFrom(NOTIFICATIONS) fetches all columns when retrieving a single notification. Use explicit column selection to fetch only the necessary data.
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,1615,1615,r = db.selectFrom(NOTIFICATIONS_LAST_EVENT).where(NOTIFICATIONS_LAST_EVENT.BUCKET_NUMBER.eq(bucketNum)).fetchOne();,Using selectFrom(NOTIFICATIONS_LAST_EVENT) fetches all columns when only EVENT_UUID is needed. Use select(NOTIFICATIONS_LAST_EVENT.EVENT_UUID) instead.
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,1659,1659,db.selectFrom(NOTIFICATIONS_RECOVERY),Using selectFrom(NOTIFICATIONS_RECOVERY) retrieves all columns from the recovery table. Explicitly select only the columns required to construct Notification objects.
tapis-project_tapis-notifications,Implicit Columns,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/dao/NotificationsDaoImpl.java,2445,2445,"r = db.selectFrom(NOTIFICATIONS_TESTS).where(NOTIFICATIONS_TESTS.TENANT.eq(oboTenant),",Using selectFrom(NOTIFICATIONS_TESTS) fetches all columns from the table. Specify only the required columns using select() to optimize the query.
tapis-project_tapis-notifications,Beware of the Unknown,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/gen/jooq/tables/Notifications.java,67,67,"public final TableField<NotificationsRecord, Integer> SUBSCR_SEQ_ID = createField(DSL.name(""subscr_seq_id""), SQLDataType.INTEGER, this, """");","The SUBSCR_SEQ_ID column is nullable but has a foreign key constraint to the subscriptions table, suggesting it should reference a valid subscription. If a missing subscription reference is a valid state, consider using NULL explicitly; otherwise, make the column NOT NULL to ensure data integrity."
tapis-project_tapis-notifications,ID Required,tapis-notificationslib/src/main/java/edu/utexas/tacc/tapis/notifications/gen/jooq/tables/NotificationsTests.java,62,62,"public final TableField<NotificationsTestsRecord, Integer> SEQ_ID = createField(DSL.name(""seq_id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a synthetic auto-increment primary key 'seq_id' even though a natural unique key exists on (tenant, owner, subscr_name) which could serve as the primary key. Consider using the composite natural key as the primary key instead of the synthetic surrogate key."
