Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
tapis-project_tapis-systems,Implicit Columns,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/dao/SystemsDaoImpl.java,1074,1074,"r = db.selectFrom(SYSTEMS).where(SYSTEMS.TENANT.eq(tenantId),SYSTEMS.ID.eq(id)).fetchOne();","This query fetches all columns from the SYSTEMS table when only specific columns may be needed. Consider using an explicit select with only the required columns, e.g., db.select(SYSTEMS.FIELD1, SYSTEMS.FIELD2).from(SYSTEMS).where(...)."
tapis-project_tapis-systems,Implicit Columns,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/dao/SystemsDaoImpl.java,1076,1076,"r = db.selectFrom(SYSTEMS).where(SYSTEMS.TENANT.eq(tenantId),SYSTEMS.ID.eq(id),SYSTEMS.DELETED.eq(false)).fetchOne();","This query fetches all columns from the SYSTEMS table when only specific columns may be needed. Consider using an explicit select with only the required columns, e.g., db.select(SYSTEMS.FIELD1, SYSTEMS.FIELD2).from(SYSTEMS).where(...)."
tapis-project_tapis-systems,Implicit Columns,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/dao/SystemsDaoImpl.java,1103,1103,"r = db.selectFrom(SYSTEMS).where(SYSTEMS.TENANT.eq(tenantId), SYSTEMS.ID.eq(id), SYSTEMS.DELETED.eq(false)).forUpdate().fetchOne();",This query fetches all columns from the SYSTEMS table for an update lock when only specific columns may be needed. Consider selecting only the required columns explicitly.
tapis-project_tapis-systems,Implicit Columns,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/dao/SystemsDaoImpl.java,1460,1460,org.jooq.SelectConditionStep condStep = db.selectFrom(SYSTEMS).where(whereCondition);,This query fetches all columns from the SYSTEMS table. Consider using an explicit select with only the required columns to reduce data transfer and improve performance.
tapis-project_tapis-systems,Implicit Columns,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/dao/SystemsDaoImpl.java,2472,2472,"r = db.selectFrom(SCHEDULER_PROFILES).where(SCHEDULER_PROFILES.TENANT.eq(tenantId),SCHEDULER_PROFILES.NAME.eq(name)).fetchOne();",This query fetches all columns from the SCHEDULER_PROFILES table. Consider using an explicit select with only the required columns.
tapis-project_tapis-systems,Implicit Columns,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/dao/SystemsDaoImpl.java,2524,2524,"r = db.selectFrom(SCHEDULER_PROFILES).where(SCHEDULER_PROFILES.TENANT.eq(tenantId),SCHEDULER_PROFILES.NAME.eq(name)).fetchOne();",This query fetches all columns from the SCHEDULER_PROFILES table. Consider using an explicit select with only the required columns.
tapis-project_tapis-systems,Implicit Columns,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/dao/SystemsDaoImpl.java,2577,2577,var records = db.selectFrom(SCHEDULER_PROFILES).where(SCHEDULER_PROFILES.TENANT.eq(tenantId)).fetch();,This query fetches all columns from the SCHEDULER_PROFILES table. Consider using an explicit select with only the required columns.
tapis-project_tapis-systems,Implicit Columns,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/dao/SystemsDaoImpl.java,2739,2739,results = db.selectFrom(SYSTEM_UPDATES).where(whereCondition);,This query fetches all columns from the SYSTEM_UPDATES table. Consider using an explicit select with only the required columns.
tapis-project_tapis-systems,Implicit Columns,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/dao/SystemsDaoImpl.java,3472,3473,"SystemsRecord systemRecord = (SystemsRecord) db.selectFrom(SYSTEMS)
                .where(SYSTEMS.TENANT.eq(tenant), SYSTEMS.ID.eq(parentId))
                .fetchOne();",This query fetches all columns from the SYSTEMS table. Consider using an explicit select with only the required columns.
tapis-project_tapis-systems,Keyless Entry,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/gen/jooq/tables/SchedProfileModLoad.java,70,70,"public final TableField<SchedProfileModLoadRecord, String> SCHED_PROFILE_NAME = createField(DSL.name(""sched_profile_name""), SQLDataType.CLOB, this, """");","The SCHED_PROFILE_NAME column appears to reference a scheduler profile by name but lacks a foreign key constraint. Consider adding a composite foreign key on (TENANT, SCHED_PROFILE_NAME) referencing the SCHEDULER_PROFILES_TENANT_NAME_KEY unique constraint, or remove this column if SCHED_PROFILE_SEQ_ID already provides the relationship."
tapis-project_tapis-systems,ID Required,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/gen/jooq/tables/SchedulerProfiles.java,108,108,"public final TableField<SchedulerProfilesRecord, Integer> SEQ_ID = createField(DSL.name(""seq_id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a synthetic auto-increment primary key (SEQ_ID) even though a natural unique key exists on (TENANT, NAME) which would be suitable as a primary key since these columns are immutable identifiers. Consider using the composite key (TENANT, NAME) as the primary key instead of the synthetic SEQ_ID."
tapis-project_tapis-systems,ID Required,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/gen/jooq/tables/Systems.java,63,63,"public final TableField<SystemsRecord, Integer> SEQ_ID = createField(DSL.name(""seq_id""), SQLDataType.INTEGER.nullable(false).identity(true), this, ""System sequence id"");","The table uses a synthetic auto-increment primary key 'seq_id' even though a natural unique key exists on (TENANT, ID) via SYSTEMS_TENANT_ID_KEY. Consider using the composite key (tenant, id) as the primary key since these columns are immutable identifiers that naturally identify a system."
tapis-project_tapis-systems,Fear of the Unknown,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/gen/jooq/tables/SystemsCredInfo.java,95,95,"public final TableField<SystemsCredInfoRecord, String> HOST_LOGIN_USER = createField(DSL.name(""host_login_user""), SQLDataType.CLOB.nullable(false).defaultValue(DSL.field(""''::text"", SQLDataType.CLOB)), this, """");","The HOST_LOGIN_USER column uses an empty string as a default value instead of NULL to represent missing data, which makes it harder to distinguish between intentionally empty values and missing values. Consider making the column nullable and using NULL to represent missing login users."
tapis-project_tapis-systems,ID Required,tapis-systemslib/src/main/java/edu/utexas/tacc/tapis/systems/gen/jooq/tables/SystemUpdates.java,65,65,"public final TableField<SystemUpdatesRecord, Integer> SEQ_ID = createField(DSL.name(""seq_id""), SQLDataType.INTEGER.nullable(false).identity(true), this, ""System update request sequence id"");","The table uses a synthetic auto-increment primary key 'seq_id' when the table is essentially a log/audit table tracking system updates. Consider using a composite natural key or a UUID-based primary key that has semantic meaning, or rename the column to something more descriptive like 'system_update_id'."
