Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
therepanic_lapayment-crypto-pay-system,ID Required,src/main/java/com/example/jooq/model/tables/Conclusions.java,56,56,"public final TableField<ConclusionsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is generically named 'id' instead of a more descriptive name like 'conclusion_id'. Consider renaming the primary key to 'conclusion_id' to make it self-documenting and easier to identify in queries involving multiple tables.
therepanic_lapayment-crypto-pay-system,Rounding Errors,src/main/java/com/example/jooq/model/tables/Conclusions.java,66,66,"public final TableField<ConclusionsRecord, Double> AMOUNT = createField(DSL.name(""amount""), SQLDataType.DOUBLE.nullable(false), this, """");","The 'amount' column uses DOUBLE which can cause precision loss for financial values due to floating-point representation. Use DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(19,4)) to ensure accurate monetary calculations."
therepanic_lapayment-crypto-pay-system,ID Required,src/main/java/com/example/jooq/model/tables/Payments.java,56,56,"public final TableField<PaymentsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is generically named 'id' instead of a more descriptive name like 'payment_id'. Consider renaming to 'payment_id' to make the column self-documenting and avoid ambiguity in joins.
therepanic_lapayment-crypto-pay-system,Rounding Errors,src/main/java/com/example/jooq/model/tables/Payments.java,71,71,"public final TableField<PaymentsRecord, Double> AMOUNT = createField(DSL.name(""amount""), SQLDataType.DOUBLE.nullable(false), this, """");","Using DOUBLE for monetary amounts can cause rounding errors in financial calculations. Use DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(19,4)) to ensure exact representation of currency values."
therepanic_lapayment-crypto-pay-system,Rounding Errors,src/main/java/com/example/jooq/model/tables/Payments.java,76,76,"public final TableField<PaymentsRecord, Double> TRON_AMOUNT = createField(DSL.name(""tron_amount""), SQLDataType.DOUBLE.nullable(false), this, """");","Using DOUBLE for cryptocurrency amounts can cause precision loss in financial calculations. Use DECIMAL or NUMERIC with sufficient precision (e.g., DECIMAL(30,18) for crypto) to ensure accurate representation."
therepanic_lapayment-crypto-pay-system,Rounding Errors,src/main/java/com/example/jooq/model/tables/Payments.java,81,81,"public final TableField<PaymentsRecord, Double> BITCOIN_AMOUNT = createField(DSL.name(""bitcoin_amount""), SQLDataType.DOUBLE.nullable(false), this, """");","Using DOUBLE for Bitcoin amounts can cause rounding errors in financial calculations. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(18,8) for Bitcoin's 8 decimal places) to ensure exact values."
therepanic_lapayment-crypto-pay-system,Rounding Errors,src/main/java/com/example/jooq/model/tables/Payments.java,86,86,"public final TableField<PaymentsRecord, Double> ETHEREUM_AMOUNT = createField(DSL.name(""ethereum_amount""), SQLDataType.DOUBLE.nullable(false), this, """");","Using DOUBLE for Ethereum amounts can cause precision loss in financial calculations. Use DECIMAL or NUMERIC with sufficient precision (e.g., DECIMAL(30,18) for Ethereum's 18 decimal places) to ensure accurate representation."
therepanic_lapayment-crypto-pay-system,Rounding Errors,src/main/java/com/example/jooq/model/tables/Payments.java,91,91,"public final TableField<PaymentsRecord, Double> MATIC_AMOUNT = createField(DSL.name(""matic_amount""), SQLDataType.DOUBLE.nullable(false), this, """");","Using DOUBLE for MATIC amounts can cause rounding errors in financial calculations. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(30,18)) to ensure exact representation of cryptocurrency values."
therepanic_lapayment-crypto-pay-system,ID Required,src/main/java/com/example/jooq/model/tables/Userfactory.java,56,56,"public final TableField<UserfactoryRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'userfactory_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'userfactory_id' or 'factory_id'."
therepanic_lapayment-crypto-pay-system,ID Required,src/main/java/com/example/jooq/model/tables/Users.java,56,56,"public final TableField<UsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is too generic and doesn't convey meaning about the entity it identifies. Consider renaming it to 'user_id' to make it more descriptive and self-documenting when used in foreign key relationships.
