Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
therepanic_lapayment-crypto-payment-system-microservices,ID Required,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/ClientsTable.java,56,56,"public final TableField<ClientsTableRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'client_id'. Consider renaming the column to 'client_id' to make it self-documenting and avoid ambiguity in queries with joins.
therepanic_lapayment-crypto-payment-system-microservices,Rounding Errors,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/ClientsTable.java,76,76,"public final TableField<ClientsTableRecord, Double> BTC_BALANCE = createField(DSL.name(""btc_balance""), SQLDataType.DOUBLE.nullable(false), this, """");","Cryptocurrency balances require precise calculations, but DOUBLE can introduce rounding errors. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(18,8)) to ensure accurate financial calculations."
therepanic_lapayment-crypto-payment-system-microservices,Rounding Errors,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/ClientsTable.java,81,81,"public final TableField<ClientsTableRecord, Double> ETH_BALANCE = createField(DSL.name(""eth_balance""), SQLDataType.DOUBLE.nullable(false), this, """");","Cryptocurrency balances require precise calculations, but DOUBLE can introduce rounding errors. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(18,8)) to ensure accurate financial calculations."
therepanic_lapayment-crypto-payment-system-microservices,Rounding Errors,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/ClientsTable.java,86,86,"public final TableField<ClientsTableRecord, Double> LTC_BALANCE = createField(DSL.name(""ltc_balance""), SQLDataType.DOUBLE.nullable(false), this, """");","Cryptocurrency balances require precise calculations, but DOUBLE can introduce rounding errors. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(18,8)) to ensure accurate financial calculations."
therepanic_lapayment-crypto-payment-system-microservices,Rounding Errors,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/ClientsTable.java,91,91,"public final TableField<ClientsTableRecord, Double> TRX_BALANCE = createField(DSL.name(""trx_balance""), SQLDataType.DOUBLE.nullable(false), this, """");","Cryptocurrency balances require precise calculations, but DOUBLE can introduce rounding errors. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(18,8)) to ensure accurate financial calculations."
therepanic_lapayment-crypto-payment-system-microservices,Rounding Errors,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/ClientsTable.java,96,96,"public final TableField<ClientsTableRecord, Double> TON_BALANCE = createField(DSL.name(""ton_balance""), SQLDataType.DOUBLE.nullable(false), this, """");","Cryptocurrency balances require precise calculations, but DOUBLE can introduce rounding errors. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(18,8)) to ensure accurate financial calculations."
therepanic_lapayment-crypto-payment-system-microservices,Rounding Errors,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/ClientsTable.java,101,101,"public final TableField<ClientsTableRecord, Double> MATIC_BALANCE = createField(DSL.name(""matic_balance""), SQLDataType.DOUBLE.nullable(false), this, """");","Cryptocurrency balances require precise calculations, but DOUBLE can introduce rounding errors. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(18,8)) to ensure accurate financial calculations."
therepanic_lapayment-crypto-payment-system-microservices,Rounding Errors,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/ClientsTable.java,106,106,"public final TableField<ClientsTableRecord, Double> XRP_BALANCE = createField(DSL.name(""xrp_balance""), SQLDataType.DOUBLE.nullable(false), this, """");","Cryptocurrency balances require precise calculations, but DOUBLE can introduce rounding errors. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(18,8)) to ensure accurate financial calculations."
therepanic_lapayment-crypto-payment-system-microservices,Rounding Errors,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/ClientsTable.java,111,111,"public final TableField<ClientsTableRecord, Double> TETHERERC20_BALANCE = createField(DSL.name(""tethererc20_balance""), SQLDataType.DOUBLE.nullable(false), this, """");","Cryptocurrency balances require precise calculations, but DOUBLE can introduce rounding errors. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(18,8)) to ensure accurate financial calculations."
therepanic_lapayment-crypto-payment-system-microservices,ID Required,auth-service/src/main/java/ru/panic/authservice/generatedClasses/tables/CompaniesTable.java,56,56,"public final TableField<CompaniesTableRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'company_id'. Consider renaming the primary key to 'company_id' to make it self-documenting and easier to identify in queries and foreign key references.
