Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
therepanic_trustwin-casino-project,ID Required,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/GamesTable.java,56,56,"public final TableField<GamesTableRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'game_id'. Consider renaming the column to 'game_id' to make it self-documenting and avoid ambiguity in queries with joins.
therepanic_trustwin-casino-project,Keyless Entry,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/GamesTable.java,66,66,"public final TableField<GamesTableRecord, String> USERNAME = createField(DSL.name(""username""), SQLDataType.VARCHAR(255).nullable(false), this, """");","The 'username' column appears to reference users but lacks a foreign key constraint to the users_table, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint referencing the users_table, or replacing this with a user_id column that references the users_table primary key."
therepanic_trustwin-casino-project,ID Required,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/MessagesTable.java,56,56,"public final TableField<MessagesTableRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'message_id'. Consider renaming the column to 'message_id' to make it self-documenting and avoid ambiguity in queries with joins.
therepanic_trustwin-casino-project,Keyless Entry,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/MessagesTable.java,66,66,"public final TableField<MessagesTableRecord, String> USERNAME = createField(DSL.name(""username""), SQLDataType.VARCHAR(255).nullable(false), this, """");","The 'username' column appears to reference users but lacks a foreign key constraint to the users_table, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint referencing users_table, or if the username is not meant to reference users, consider using a user_id column with a proper foreign key instead."
therepanic_trustwin-casino-project,ID Required,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/ReplenishmentsTable.java,56,56,"public final TableField<ReplenishmentsTableRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'replenishment_id'. Consider renaming the column to 'replenishment_id' to make foreign key references more self-documenting and to avoid ambiguity in queries with joins.
therepanic_trustwin-casino-project,Rounding Errors,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/ReplenishmentsTable.java,71,71,"public final TableField<ReplenishmentsTableRecord, Double> AMOUNT = createField(DSL.name(""amount""), SQLDataType.DOUBLE.nullable(false), this, """");","The 'amount' column uses DOUBLE which can cause rounding errors for monetary values due to floating-point representation. Use DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(19,4)) to ensure accurate financial calculations."
therepanic_trustwin-casino-project,Beware of the Unknown,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/ReplenishmentsTable.java,81,81,"public final TableField<ReplenishmentsTableRecord, Long> TIMESTAMP = createField(DSL.name(""timestamp""), SQLDataType.BIGINT, this, """");","The 'timestamp' column is nullable but likely should always have a value for a replenishment record, as every transaction should have a recorded time. Consider adding a NOT NULL constraint with a default value like CURRENT_TIMESTAMP, or ensure the application always provides this value."
therepanic_trustwin-casino-project,ID Required,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/SignInHistoryTable.java,56,56,"public final TableField<SignInHistoryTableRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'sign_in_history_id'. Consider renaming the column to something more meaningful that identifies what entity it represents, such as 'sign_in_history_id'."
therepanic_trustwin-casino-project,ID Required,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/UsersTable.java,60,60,"public final TableField<UsersTableRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'user_id'. Consider renaming the column to 'user_id' to make it self-documenting and avoid ambiguity in joins.
therepanic_trustwin-casino-project,31 Flavors,game-crash-service/src/main/java/eu/panic/gamecrashservice/generatedClasses/tables/UsersTable.java,70,70,"public final TableField<UsersTableRecord, String> AUTHORIZE_TYPE = createField(DSL.name(""authorize_type""), SQLDataType.VARCHAR(255).nullable(false), this, """");","The 'authorize_type' column uses a CHECK constraint to limit values to 'DEFAULT' and 'GOOGLE' (line 218), which makes adding new authorization types require a schema change. Consider creating a separate 'authorize_types' lookup table instead."
