Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
theronielanddaronpodcastshow_svja,Implicit Columns,src/main/java/local/rdps/svja/dao/CommonDao.java,66,66,final SelectQuery<Record> query = readContext.selectQuery(t);,"Using selectQuery(t) without specifying columns fetches all columns from the table, which can retrieve unnecessary data and impact performance. Explicitly specify only the required columns using readContext.select(...).from(t) instead."
theronielanddaronpodcastshow_svja,Implicit Columns,src/main/java/local/rdps/svja/dao/CommonDao.java,105,105,final SelectQuery<Record> query = readContext.selectQuery(t);,"Using selectQuery(t) without specifying columns fetches all columns from the table, which retrieves unnecessary data and impacts performance. Explicitly specify only the required columns using readContext.select(...).from(t) instead."
theronielanddaronpodcastshow_svja,ID Required,src/main/java/local/rdps/svja/dao/jooq/tables/Files.java,68,68,"public final TableField<FilesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'file_id'. Consider renaming the column to 'file_id' to make it self-documenting and avoid ambiguity in queries with joins.
theronielanddaronpodcastshow_svja,Fear of the Unknown,src/main/java/local/rdps/svja/dao/jooq/tables/Files.java,88,88,"public final TableField<FilesRecord, LocalDateTime> MODIFIED_DATE = createField(DSL.name(""modified_date""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)), this, """");","The MODIFIED_DATE column has a default value but is marked as NULLABLE, which is inconsistent since a column with a default timestamp should never be NULL in practice. Consider adding .nullable(false) to the column definition to enforce that the column always has a value."
theronielanddaronpodcastshow_svja,ID Required,src/main/java/local/rdps/svja/dao/jooq/tables/Groups.java,68,68,"public final TableField<GroupsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' as the primary key name, and there's already a unique constraint on the 'name' column (SQLITE_AUTOINDEX_GROUPS_2) which could serve as a natural key. Consider using 'group_id' as the primary key name, or using the unique 'name' column as the primary key if group names are immutable."
theronielanddaronpodcastshow_svja,ID Required,src/main/java/local/rdps/svja/dao/jooq/tables/Projects.java,68,68,"public final TableField<ProjectsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'project_id'. Consider renaming the column to 'project_id' to make it self-documenting and avoid ambiguity in queries with joins.
theronielanddaronpodcastshow_svja,Fear of the Unknown,src/main/java/local/rdps/svja/dao/jooq/tables/Projects.java,88,88,"public final TableField<ProjectsRecord, LocalDateTime> MODIFIED_DATE = createField(DSL.name(""modified_date""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)), this, """");","The 'modified_date' column has a default value but is marked as NULLABLE (no .nullable(false) specified), which means it can accept NULL values even though it should always have a meaningful timestamp. Consider adding .nullable(false) to enforce that this column always contains a valid modification date."
theronielanddaronpodcastshow_svja,Fear of the Unknown,src/main/java/local/rdps/svja/dao/jooq/tables/Sessions.java,77,77,"public final TableField<SessionsRecord, LocalDateTime> LAST_ACCESSED = createField(DSL.name(""last_accessed""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)), this, """");","The LAST_ACCESSED column has a default value but is marked as NULLABLE, which means it can never be NULL in practice since it defaults to CURRENT_TIMESTAMP. Consider adding .nullable(false) to the column definition to accurately reflect its intended usage."
theronielanddaronpodcastshow_svja,Fear of the Unknown,src/main/java/local/rdps/svja/dao/jooq/tables/UserGroups.java,82,82,"public final TableField<UserGroupsRecord, LocalDateTime> MODIFIED_DATE = createField(DSL.name(""modified_date""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)), this, """");","The MODIFIED_DATE column has a default value but is implicitly NULLABLE (no .nullable(false) specified), which means it can never be NULL in practice since it defaults to CURRENT_TIMESTAMP. Consider adding .nullable(false) to the column definition to enforce this constraint at the database level."
theronielanddaronpodcastshow_svja,ID Required,src/main/java/local/rdps/svja/dao/jooq/tables/Users.java,68,68,"public final TableField<UsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on 'username' (SQLITE_AUTOINDEX_USERS_2) which is a natural key suitable for identifying users. Consider using 'username' as the primary key or renaming the synthetic key to something more descriptive like 'user_id'."
theronielanddaronpodcastshow_svja,Implicit Columns,src/main/java/local/rdps/svja/dao/PermissionsDao.java,51,51,final @NotNull SelectQuery<GroupPermissionsRecord> query = readContext.selectQuery(PermissionsDao.gp);,"Using selectQuery with a table reference fetches all columns from the GROUP_PERMISSIONS table, even though only CAN_ADMIN and CAN_WRITE are used. Explicitly select only the required columns using readContext.select(gp.CAN_ADMIN, gp.CAN_WRITE).from(gp) instead."
theronielanddaronpodcastshow_svja,Implicit Columns,src/main/java/local/rdps/svja/dao/SessionDao.java,188,188,final SelectQuery<SessionsRecord> query = readContext.selectQuery(SessionDao.s);,Using selectQuery with a table reference fetches all columns from the Sessions table into a SessionsRecord. Explicitly specify only the required columns using select() to improve query performance and reduce data transfer.
