Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/AddressTransaction.java,55,55,"public final TableField<Record, Long> TRANSACTION_TIMESTAMP = createField(DSL.name(""transaction_timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");",The 'transaction_timestamp' column appears to reference the Transaction table (which has TRANSACTION_PKEY on the 'timestamp' column) but lacks a foreign key constraint. Add a foreign key constraint referencing the Transaction table's timestamp column to ensure referential integrity.
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/TransactionApproveAllowance.java,51,51,"public final TableField<Record, Long> TIMESTAMP = createField(DSL.name(""timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The TIMESTAMP column appears to reference the Transaction table (based on the naming convention and the existence of TRANSACTION_PKEY on Transaction.TIMESTAMP), but there is no foreign key constraint defined. Consider adding a foreign key constraint referencing the Transaction table's TIMESTAMP primary key to ensure referential integrity."
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/TransactionApproveExternalTransfer.java,51,51,"public final TableField<Record, Long> TIMESTAMP = createField(DSL.name(""timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");",The TIMESTAMP column appears to reference the Transaction table's primary key (TRANSACTION_PKEY on TIMESTAMP) but lacks a foreign key constraint. Add a foreign key constraint referencing the Transaction table's TIMESTAMP column to ensure referential integrity.
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/TransactionBurn.java,51,51,"public final TableField<Record, Long> TIMESTAMP = createField(DSL.name(""timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The TIMESTAMP column appears to reference the Transaction table (based on the naming convention and the existence of TRANSACTION_PKEY on the timestamp column), but there is no foreign key constraint defined. Consider adding a foreign key constraint referencing the Transaction table's timestamp primary key to ensure referential integrity."
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/TransactionChangeComplianceManager.java,50,50,"public final TableField<Record, Long> TIMESTAMP = createField(DSL.name(""timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");",The TIMESTAMP column appears to reference the Transaction table's TIMESTAMP primary key (Keys.TRANSACTION_PKEY) but lacks a foreign key constraint. Add a foreign key constraint referencing the Transaction table to ensure referential integrity.
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/TransactionChangeEnforcementManager.java,50,50,"public final TableField<Record, Long> TIMESTAMP = createField(DSL.name(""timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The TIMESTAMP column appears to reference the Transaction table's TIMESTAMP primary key (based on naming convention and the table being a transaction-related table), but lacks a foreign key constraint. Add a foreign key constraint referencing the Transaction table's TIMESTAMP column to ensure referential integrity."
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/TransactionDecreaseAllowance.java,51,51,"public final TableField<Record, Long> TIMESTAMP = createField(DSL.name(""timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The TIMESTAMP column appears to reference the Transaction table (based on the naming convention and the existence of TRANSACTION_PKEY on Transaction.TIMESTAMP), but there is no foreign key constraint defined. Consider adding a foreign key constraint referencing the Transaction table's TIMESTAMP primary key to ensure referential integrity."
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/TransactionExternalTransfer.java,51,51,"public final TableField<Record, Long> TIMESTAMP = createField(DSL.name(""timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");",The TIMESTAMP column appears to reference the Transaction table's TIMESTAMP primary key (TRANSACTION_PKEY) but lacks a foreign key constraint. Add a foreign key constraint referencing the Transaction table to ensure referential integrity.
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/TransactionExternalTransferFrom.java,51,51,"public final TableField<Record, Long> TIMESTAMP = createField(DSL.name(""timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");",The TIMESTAMP column appears to reference the Transaction table's primary key (TRANSACTION_PKEY on TIMESTAMP) but lacks a foreign key constraint. Add a foreign key constraint referencing the Transaction table's TIMESTAMP column to ensure referential integrity.
thomascherickal_hedera-stable-coin,Keyless Entry,src/main/java/com/hedera/hashgraph/stablecoin/app/db/tables/TransactionFreeze.java,50,50,"public final TableField<Record, Long> TIMESTAMP = createField(DSL.name(""timestamp""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");",The TIMESTAMP column appears to reference the Transaction table's TIMESTAMP primary key (Keys.TRANSACTION_PKEY) but lacks a foreign key constraint. Add a foreign key constraint referencing the transaction table to ensure referential integrity.
