Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
vladislav77777_java-backend-course,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,23,23,.returning(LINK.fields()),"Using LINK.fields() returns all columns from the LINK table, which may include columns not needed by the application. Explicitly list only the required columns like .returning(LINK.ID, LINK.URL, LINK.LAST_UPDATED_AT)."
vladislav77777_java-backend-course,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,31,31,.returning(LINK.fields()),"Using LINK.fields() returns all columns from the LINK table, which may fetch unnecessary data. Explicitly specify only the columns needed, such as .returning(LINK.ID, LINK.URL, LINK.LAST_UPDATED_AT)."
vladislav77777_java-backend-course,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,37,37,return dslContext.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table, which can lead to performance issues if the table has many columns. Explicitly list only the required columns in the select clause."
vladislav77777_java-backend-course,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,43,43,return dslContext.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table regardless of actual needs. Replace with explicit column selection like .select(LINK.ID, LINK.URL, LINK.LAST_UPDATED_AT)."
vladislav77777_java-backend-course,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,50,50,return dslContext.select(LINK.fields()),"Using LINK.fields() fetches all columns from the LINK table, which may include unnecessary data. Specify only the columns you need explicitly."
vladislav77777_java-backend-course,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,69,69,return dslContext.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table, potentially retrieving more data than necessary. Explicitly enumerate the required columns instead."
vladislav77777_java-backend-course,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqTelegramChatRepository.java,18,18,.returning(TELEGRAM_CHAT.fields()),"Using `TELEGRAM_CHAT.fields()` fetches all columns from the table, which can lead to performance issues and maintenance problems if the table schema changes. Explicitly list only the columns needed, e.g., `.returning(TELEGRAM_CHAT.ID, TELEGRAM_CHAT.REGISTERED_AT)`."
vladislav77777_java-backend-course,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqTelegramChatRepository.java,26,26,.returning(TELEGRAM_CHAT.fields()),"Using `TELEGRAM_CHAT.fields()` fetches all columns from the table, which can lead to performance issues and maintenance problems if the table schema changes. Explicitly list only the columns needed, e.g., `.returning(TELEGRAM_CHAT.ID, TELEGRAM_CHAT.REGISTERED_AT)`."
vladislav77777_java-backend-course,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqTelegramChatRepository.java,32,32,return dslContext.select(TELEGRAM_CHAT.fields()),"Using `TELEGRAM_CHAT.fields()` fetches all columns from the table, which can lead to performance issues and maintenance problems if the table schema changes. Explicitly list only the columns needed, e.g., `.select(TELEGRAM_CHAT.ID, TELEGRAM_CHAT.REGISTERED_AT)`."
vladislav77777_java-backend-course,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/jooq/tables/Link.java,67,68,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as a synthetic primary key, but there's already a unique constraint on the 'URL' column (CONSTRAINT_2) which could serve as a natural primary key. Consider using 'URL' as the primary key or renaming the ID column to something more descriptive like 'link_id'."
vladislav77777_java-backend-course,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/jooq/tables/TelegramChat.java,64,65,"public final TableField<TelegramChatRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'chat_id' or 'telegram_chat_id' to make it more descriptive and avoid ambiguity in joins."
