Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/ConfigDbLayer.java,29,29,ConfigRecord rec = dslContext.selectFrom(Tables.CONFIG).where(Tables.CONFIG.CONFIG_KEY.equal(key)).limit(1).fetchOne();,"Using selectFrom(Tables.CONFIG) fetches all columns from the CONFIG table into a record, even though only specific columns may be needed. Consider using select() with explicit column names like select(Tables.CONFIG.CONFIG_KEY, Tables.CONFIG.CONFIG_VALUE) if you don't need all columns."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/ConfigDbLayer.java,44,44,ConfigRecord rec = dslContext.selectFrom(Tables.CONFIG).where(Tables.CONFIG.CONFIG_KEY.equal(key)).limit(1).fetchOne();,"Using selectFrom(Tables.CONFIG) fetches all columns from the CONFIG table into a record, even though only specific columns may be needed. Consider using select() with explicit column names if you only need certain fields."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/ConfigDbLayer.java,55,55,ConfigRecord rec = dslContext.selectFrom(Tables.CONFIG).where(Tables.CONFIG.CONFIG_KEY.equal(key)).limit(1).fetchOne();,"Using selectFrom(Tables.CONFIG) fetches all columns just to check if a record exists. Consider using fetchExists() instead, which is more efficient for existence checks and avoids fetching unnecessary data."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/JooqPersistentTokenRepositoryImpl.java,52,52,PersistentLoginsRecord plr = dslContext.selectFrom(Tables.PERSISTENT_LOGINS).where(Tables.PERSISTENT_LOGINS.SERIES.equal(series)).limit(1).fetchOne();,Using selectFrom() fetches all columns from the PERSISTENT_LOGINS table when only specific fields may be needed for the update operation. Consider using select() with explicit column names to fetch only the required columns.
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/JooqPersistentTokenRepositoryImpl.java,75,75,PersistentLoginsRecord plr = dslContext.selectFrom(Tables.PERSISTENT_LOGINS).where(Tables.PERSISTENT_LOGINS.SERIES.equal(series)).limit(1).fetchOne();,"Using selectFrom() fetches all columns from the PERSISTENT_LOGINS table into a record. Consider using select() with only the columns needed (USERNAME, SERIES, TOKEN, LAST_USED) to construct the PersistentRememberMeToken."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/JooqPersistentTokenRepositoryImpl.java,97,97,PersistentLoginsRecord plr = dslContext.selectFrom(Tables.PERSISTENT_LOGINS).where(Tables.PERSISTENT_LOGINS.USERNAME.equal(username)).limit(1).fetchOne();,Using selectFrom() fetches all columns from the PERSISTENT_LOGINS table when the record is only used for deletion. Consider using deleteFrom() directly with a WHERE clause instead of fetching the record first.
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/PilotDbLayer.java,40,40,Result<PilotsRecord> rec = dslContext.selectFrom(Tables.PILOTS).fetch();,"Using selectFrom() fetches all columns from the PILOTS table, which retrieves unnecessary data if only specific columns are needed. Consider using select() with explicit column names like dslContext.select(Tables.PILOTS.NAME, Tables.PILOTS.CHIPID).from(Tables.PILOTS).fetch()."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/PilotDbLayer.java,59,59,PilotsRecord rec = dslContext.selectFrom(Tables.PILOTS).where(Tables.PILOTS.NAME.equal(name)).limit(1).fetchOne();,Using selectFrom() fetches all columns from the PILOTS table when only checking for existence and updating. Consider using selectFrom with explicit columns or a more targeted query approach.
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/PilotDbLayer.java,74,74,PilotsRecord rec = dslContext.selectFrom(Tables.PILOTS).where(Tables.PILOTS.NAME.equal(name)).limit(1).fetchOne();,"Using selectFrom() fetches all columns from the PILOTS table. Consider using select() with only the columns you need, such as dslContext.select(Tables.PILOTS.NAME, Tables.PILOTS.CHIPID).from(Tables.PILOTS)."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/PilotDbLayer.java,85,85,PilotsRecord rec = dslContext.selectFrom(Tables.PILOTS).where(Tables.PILOTS.NAME.equal(name)).limit(1).fetchOne();,Using selectFrom() fetches all columns just to delete the record. Consider using dslContext.deleteFrom(Tables.PILOTS).where(Tables.PILOTS.NAME.equal(name)).execute() instead for a more efficient deletion.
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/ProfilesDbLayer.java,35,35,ProfilesRecord rec = dslContext.selectFrom(Tables.PROFILES).where(Tables.PROFILES.CHIPID.equal(chipId)).and(Tables.PROFILES.NAME.equal(name)).limit(1).fetchOne();,"Using selectFrom(Tables.PROFILES) fetches all columns from the PROFILES table, even though only the DATA column needs to be updated. Consider using select() with only the required columns, or use an UPDATE statement directly."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/ProfilesDbLayer.java,53,53,Result<ProfilesRecord> rec = dslContext.selectFrom(Tables.PROFILES).where(Tables.PROFILES.CHIPID.equal(chipId)).fetch();,"Using selectFrom(Tables.PROFILES) fetches all columns from the PROFILES table into records. Consider using select() with only the specific columns needed (NAME, CHIPID, DATA) to build the Profile objects."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/ProfilesDbLayer.java,67,67,ProfilesRecord rec = dslContext.selectFrom(Tables.PROFILES).where(Tables.PROFILES.CHIPID.equal(chipId)).and(Tables.PROFILES.NAME.equal(name)).limit(1).fetchOne();,"Using selectFrom(Tables.PROFILES) fetches all columns from the PROFILES table. Consider using select() with only the specific columns needed (NAME, CHIPID, DATA) to construct the Profile object."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/ProfilesDbLayer.java,79,79,ProfilesRecord rec = dslContext.selectFrom(Tables.PROFILES).where(Tables.PROFILES.CHIPID.equal(chipId)).and(Tables.PROFILES.NAME.equal(name)).limit(1).fetchOne();,Using selectFrom(Tables.PROFILES) fetches all columns just to delete the record. Consider using a direct DELETE statement with the WHERE clause instead of fetching the record first.
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/RaceDbLayer.java,59,59,RacesRecord rec = dslContext.selectFrom(Tables.RACES).where(Tables.RACES.ID.equal(id)).limit(1).fetchOne();,"Using selectFrom(Tables.RACES) fetches all columns from the RACES table into a record, even though only specific columns may be needed. Consider selecting only the required columns explicitly, e.g., dslContext.select(Tables.RACES.ID, Tables.RACES.STATE).from(Tables.RACES)."
warhog_fpvlaptracker,Implicit Columns,web/src/main/java/de/warhog/fpvlaptracker/db/RaceDbLayer.java,70,70,RacesRecord rec = dslContext.selectFrom(Tables.RACES).where(Tables.RACES.ID.equal(id)).limit(1).fetchOne();,Using selectFrom(Tables.RACES) fetches all columns from the RACES table when only the STATE column needs to be updated. Consider selecting only the required columns explicitly or using an update statement directly.
