Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
waydxd_COMP3111-Project,ID Required,src/main/java/com/examsystem/jooq/generated/tables/Demo.java,55,55,"public final TableField<DemoRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER, this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to something more descriptive like 'demo_id' to make queries and joins more readable."
waydxd_COMP3111-Project,ID Required,src/main/java/com/examsystem/jooq/generated/tables/Examinations.java,63,63,"public final TableField<ExaminationsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER, this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in queries with joins. Consider renaming it to 'examination_id' to make it more descriptive and self-documenting."
waydxd_COMP3111-Project,Keyless Entry,src/main/java/com/examsystem/jooq/generated/tables/Examinations.java,68,68,"public final TableField<ExaminationsRecord, String> COURSEID = createField(DSL.name(""courseID""), SQLDataType.CLOB.nullable(false), this, """");","The 'courseID' column appears to reference the Courses table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the COURSES__PK_COURSES primary key (Courses.COURSE_CODE)."
waydxd_COMP3111-Project,Rounding Errors,src/main/java/com/examsystem/jooq/generated/tables/Examinations.java,73,73,"public final TableField<ExaminationsRecord, Float> EXAMTIME = createField(DSL.name(""examTime""), SQLDataType.REAL.nullable(false), this, """");","The 'examTime' column uses REAL (floating-point) type which can cause precision loss for time values. Consider using DECIMAL or NUMERIC for fixed-precision storage, or an INTEGER type if storing time in minutes/seconds."
waydxd_COMP3111-Project,ID Required,src/main/java/com/examsystem/jooq/generated/tables/Grades.java,56,56,"public final TableField<GradesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the table it belongs to. Consider renaming it to 'grade_id' to make it more descriptive and avoid ambiguity in queries with joins.
waydxd_COMP3111-Project,Rounding Errors,src/main/java/com/examsystem/jooq/generated/tables/Grades.java,76,76,"public final TableField<GradesRecord, Float> SCORE = createField(DSL.name(""score""), SQLDataType.REAL.nullable(false), this, """");","The 'score' column uses REAL (floating-point) type which can cause precision loss for grade values. Use DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(5,2)) to ensure accurate score storage."
waydxd_COMP3111-Project,Rounding Errors,src/main/java/com/examsystem/jooq/generated/tables/Grades.java,81,81,"public final TableField<GradesRecord, Float> FULL_SCORE = createField(DSL.name(""full_score""), SQLDataType.REAL.nullable(false), this, """");","The 'full_score' column uses REAL (floating-point) type which can introduce rounding errors when storing exam maximum scores. Use DECIMAL or NUMERIC (e.g., DECIMAL(5,2)) to maintain exact values for score calculations."
waydxd_COMP3111-Project,ID Required,src/main/java/com/examsystem/jooq/generated/tables/Managers.java,56,56,"public final TableField<ManagersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'manager_id'. Consider renaming the column to 'manager_id' to make it self-documenting and avoid ambiguity in queries with joins.
waydxd_COMP3111-Project,ID Required,src/main/java/com/examsystem/jooq/generated/tables/Members.java,66,66,"public final TableField<MembersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in queries with joins. Consider renaming it to 'member_id' to make it more descriptive and self-documenting."
waydxd_COMP3111-Project,31 Flavors,src/main/java/com/examsystem/jooq/generated/tables/Members.java,106,106,"public final TableField<MembersRecord, String> TYPE = createField(DSL.name(""type""), SQLDataType.CLOB.nullable(false), this, """");","The 'type' column uses a CHECK constraint (line 209) to restrict values to 'Teacher' or 'Student', which makes it difficult to add new member types without modifying the schema. Consider creating a separate 'member_types' lookup table and referencing it with a foreign key."
