Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
wujihulian_filesbox,Poor Man's Search Engine,backend/src/main/java/com/svnlan/home/dao/impl/ExplorerOperationsDaoImpl.java,56,56,"where.and(IO_SOURCE.PARENT_LEVEL.like(DSL.concat(parentLevel, ""%"")));","Using LIKE with a wildcard suffix for searching parent levels may indicate a full-text search pattern. If this is intended for hierarchical path matching, consider using a dedicated hierarchical data structure or a recursive CTE instead of LIKE patterns."
wujihulian_filesbox,Poor Man's Search Engine,backend/src/main/java/com/svnlan/home/dao/impl/HomeExplorerDaoImpl.java,98,98,"condition = condition.or(IO_SOURCE.PARENT_LEVEL.like(DSL.concat(""%"", level, ""%"")));","Using LIKE with wildcards on both sides ('%level%') for searching parent levels performs a full table scan and cannot use indexes efficiently. Consider using a hierarchical data structure, a dedicated path column with prefix search, or a full-text search index."
wujihulian_filesbox,Poor Man's Search Engine,backend/src/main/java/com/svnlan/home/dao/impl/HomeExplorerDaoImpl.java,148,149,"where.and(IO_SOURCE.NAME.like(DSL.concat(""%"", keyword, ""%"")).or(IO_SOURCE.NAME_PINYIN.like(DSL.concat(""%"", keyword, ""%"")))
                    .or(IO_SOURCE.NAME_PINYIN_SIMPLE.like(DSL.concat(""%"", keyword, ""%""))));","Using LIKE with wildcards on both sides for keyword search across NAME, NAME_PINYIN, and NAME_PINYIN_SIMPLE columns prevents index usage and causes slow full table scans. Consider implementing a full-text search solution like MySQL FULLTEXT indexes or Elasticsearch."
wujihulian_filesbox,Poor Man's Search Engine,backend/src/main/java/com/svnlan/home/dao/impl/HomeExplorerDaoImpl.java,244,245,"((SelectConditionStep<Record>) selectConditionStep).and(IO_SOURCE.NAME.like(DSL.concat(""%"", keyword, ""%"")).or(IO_SOURCE.NAME_PINYIN.like(DSL.concat(""%"", keyword, ""%"")))
                    .or(IO_SOURCE.NAME_PINYIN_SIMPLE.like(DSL.concat(""%"", keyword, ""%""))));",Using LIKE with wildcards on both sides for keyword search across multiple columns prevents index usage and results in slow full table scans. Consider using a full-text search engine or database-native full-text search capabilities.
wujihulian_filesbox,Poor Man's Search Engine,backend/src/main/java/com/svnlan/home/dao/impl/HomeExplorerDaoImpl.java,311,312,"((SelectConditionStep<Record1<Integer>>) selectConditionStep).and(IO_SOURCE.NAME.like(DSL.concat(""%"", keyword, ""%"")).or(IO_SOURCE.NAME_PINYIN.like(DSL.concat(""%"", keyword, ""%"")))
                    .or(IO_SOURCE.NAME_PINYIN_SIMPLE.like(DSL.concat(""%"", keyword, ""%""))));",Using LIKE with wildcards on both sides for keyword search across multiple columns prevents index usage and results in slow full table scans. Consider using a full-text search engine or database-native full-text search capabilities.
wujihulian_filesbox,Poor Man's Search Engine,backend/src/main/java/com/svnlan/home/dao/impl/HomeExplorerDaoImpl.java,375,376,"where.and(IO_SOURCE.NAME.like(DSL.concat(""%"", keyword, ""%"")).or(IO_SOURCE.NAME_PINYIN.like(DSL.concat(""%"", keyword, ""%"")))
                    .or(IO_SOURCE.NAME_PINYIN_SIMPLE.like(DSL.concat(""%"", keyword, ""%""))));",Using LIKE with wildcards on both sides for keyword search across multiple columns prevents index usage and results in slow full table scans. Consider using a full-text search engine or database-native full-text search capabilities.
wujihulian_filesbox,Poor Man's Search Engine,backend/src/main/java/com/svnlan/home/dao/impl/HomeExplorerDaoImpl.java,448,449,"where.and(IO_SOURCE.NAME.like(DSL.concat(""%"", keyword, ""%"")).or(IO_SOURCE.NAME_PINYIN.like(DSL.concat(""%"", keyword, ""%"")))
                    .or(IO_SOURCE.NAME_PINYIN_SIMPLE.like(DSL.concat(""%"", keyword, ""%""))));",Using LIKE with wildcards on both sides for keyword search across multiple columns prevents index usage and results in slow full table scans. Consider using a full-text search engine or database-native full-text search capabilities.
wujihulian_filesbox,Implicit Columns,backend/src/main/java/com/svnlan/home/dao/impl/IoFileDaoImpl.java,371,371,return context.select(),"Using `select()` without specifying columns fetches all columns from the IO_FILE table, which retrieves unnecessary data and impacts performance. Explicitly list only the required columns, e.g., `select(IO_FILE.ID, IO_FILE.NAME, ...)`."
wujihulian_filesbox,Implicit Columns,backend/src/main/java/com/svnlan/home/dao/impl/IoFileDaoImpl.java,382,382,return context.select().from(IO_FILE),"Using `select()` without specifying columns fetches all columns from the IO_FILE table, which wastes bandwidth and memory. Specify only the columns needed for the IOFile mapping."
wujihulian_filesbox,Implicit Columns,backend/src/main/java/com/svnlan/home/dao/impl/IoFileDaoImpl.java,417,417,return context.select(),Using `select()` without specifying columns fetches all columns from the IO_FILE table unnecessarily. Explicitly specify only the columns required for the IOFile class.
wujihulian_filesbox,Implicit Columns,backend/src/main/java/com/svnlan/home/dao/impl/IoSourceDaoImpl.java,754,754,return context.select(),"Using select() without specifying columns fetches all columns from IO_SOURCE table, which retrieves unnecessary data and impacts performance. Explicitly list only the required columns like IO_SOURCE.ID, IO_SOURCE.NAME, etc."
wujihulian_filesbox,Implicit Columns,backend/src/main/java/com/svnlan/home/dao/impl/IoSourceDaoImpl.java,780,780,return context.select(),"Using select() without specifying columns fetches all columns from IO_SOURCE table, retrieving more data than needed. Specify only the columns required for the IOSource mapping."
wujihulian_filesbox,Implicit Columns,backend/src/main/java/com/svnlan/home/dao/impl/IoSourceDaoImpl.java,788,788,return context.select(),Using select() without specifying columns fetches all columns from IO_SOURCE table. Explicitly specify only the columns needed for the IOSource object to improve query efficiency.
wujihulian_filesbox,Poor Man's Search Engine,backend/src/main/java/com/svnlan/home/dao/impl/ShareDaoImpl.java,157,158,"where.and(IO_SOURCE.NAME.like(DSL.concat(""%"", keyword, ""%"")).or(IO_SOURCE.NAME_PINYIN.like(DSL.concat(""%"", keyword, ""%"")))
                    .or(IO_SOURCE.NAME_PINYIN_SIMPLE.like(DSL.concat(""%"", keyword, ""%""))));","Using LIKE with wildcards on both sides ('%keyword%') for searching across NAME, NAME_PINYIN, and NAME_PINYIN_SIMPLE columns prevents index usage and causes full table scans. Consider implementing a full-text search index or using a dedicated search engine like Elasticsearch."
