Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
xGodness_service-oriented-architecture,ID Required,codegen/src/main/java/ru/xgodness/model/generated/tables/Labwork.java,76,76,"public final TableField<LabworkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'labwork_id' to make it more meaningful and to avoid ambiguity in queries with joins."
xGodness_service-oriented-architecture,Rounding Errors,codegen/src/main/java/ru/xgodness/model/generated/tables/Labwork.java,101,101,"public final TableField<LabworkRecord, Double> MINIMAL_POINT = createField(DSL.name(""minimal_point""), SQLDataType.DOUBLE.nullable(false), this, """");",The 'minimal_point' column uses DOUBLE which is a floating-point type that can cause precision loss for fixed-precision values like points or scores. Consider using DECIMAL or NUMERIC with appropriate precision and scale to ensure accurate storage and calculations.
xGodness_service-oriented-architecture,31 Flavors,codegen/src/main/java/ru/xgodness/model/generated/tables/Labwork.java,106,106,"public final TableField<LabworkRecord, DifficultyT> DIFFICULTY = createField(DSL.name(""difficulty""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(DifficultyT.class), this, """");","The 'difficulty' column uses an ENUM type which embeds allowed values in the column definition, making it difficult to add or modify values without schema changes. Consider creating a separate 'difficulty' lookup table with a foreign key reference for better flexibility and maintainability."
xGodness_service-oriented-architecture,Implicit Columns,labworks-service/src/main/java/ru/xgodness/endpoint/faculties/FacultyService.java,109,110,"return context.fetchOptional(
            DISCIPLINE,","Using fetchOptional with just the table reference fetches all columns from the DISCIPLINE table, even though only existence is being checked. Consider using fetchExists() instead, or explicitly select only the required columns."
xGodness_service-oriented-architecture,Implicit Columns,labworks-service/src/main/java/ru/xgodness/endpoint/faculties/FacultyService.java,116,116,"var recordOpt = context.fetchOptional(DISCIPLINE, DISCIPLINE.FACULTY.eq(faculty), DISCIPLINE.NAME.eq(disciplineName));","Using fetchOptional with the table reference fetches all columns from DISCIPLINE, but only selfStudyHours is needed. Consider using a select query that explicitly fetches only DISCIPLINE.SELF_STUDY_HOURS."
xGodness_service-oriented-architecture,Implicit Columns,labworks-service/src/main/java/ru/xgodness/endpoint/labworks/LabworkService.java,158,158,"Optional<LabworkRecord> recordOpt = context.fetchOptional(LABWORK, LABWORK.ID.eq(id));","Using `fetchOptional(LABWORK, ...)` fetches all columns from the LABWORK table into a LabworkRecord, which may retrieve more data than needed. Consider using an explicit column selection with `select(...).from(LABWORK).where(...).fetchOptional()` to fetch only the required columns."
xGodness_service-oriented-architecture,Poor Man's Search Engine,labworks-service/src/main/java/ru/xgodness/endpoint/labworks/util/FilteringQueryToken.java,196,196,case NAME -> LABWORK.NAME.contains((String) getValue());,Using `contains()` performs a LIKE '%value%' pattern match which cannot use indexes efficiently and results in full table scans. Consider using a proper full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch for text searching.
xGodness_service-oriented-architecture,Poor Man's Search Engine,labworks-service/src/main/java/ru/xgodness/endpoint/labworks/util/FilteringQueryToken.java,197,197,case FACULTY -> LABWORK.FACULTY.contains((String) getValue());,Using `contains()` performs a LIKE '%value%' pattern match which cannot use indexes efficiently and results in full table scans. Consider using a proper full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch for text searching.
xGodness_service-oriented-architecture,Poor Man's Search Engine,labworks-service/src/main/java/ru/xgodness/endpoint/labworks/util/FilteringQueryToken.java,198,198,case DISCIPLINE_NAME -> LABWORK.DISCIPLINE.contains((String) getValue());,Using `contains()` performs a LIKE '%value%' pattern match which cannot use indexes efficiently and results in full table scans. Consider using a proper full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch for text searching.
xGodness_service-oriented-architecture,Beware of the Unknown,labworks-service/src/main/java/ru/xgodness/endpoint/minimalpoints/MinimalPointService.java,18,18,sum += record.value1();,"The MINIMAL_POINT column is of type Double (nullable), and if any record contains NULL, calling record.value1() will return null, causing a NullPointerException when unboxing to double in the addition. Add a null check before adding to the sum, or use COALESCE in the SQL query to handle NULL values."
