Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,45,45,Record gradeName = context.select(I_CLASS.fields()),"Using `I_CLASS.fields()` selects all columns from the I_CLASS table, which may fetch unnecessary data and couples the code to the table schema. Consider explicitly listing only the required columns instead."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,61,61,return context.select(I_CLASS.fields()),"Using `I_CLASS.fields()` selects all columns from the I_CLASS table, which may retrieve more data than needed. Explicitly specify only the columns required for IClassExtra."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,72,72,IGradeRecord iGradeRecord = context.selectFrom(I_GRADE),Using `selectFrom(I_GRADE)` fetches all columns from the I_GRADE table into a record. Consider selecting only the specific columns needed for the IGrade POJO.
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,84,84,return context.selectFrom(I_CLASS),Using `selectFrom(I_CLASS)` fetches all columns from the I_CLASS table. Specify only the columns needed for the IClass POJO to improve query efficiency.
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,93,93,return context.selectFrom(I_GRADE),Using `selectFrom(I_GRADE)` fetches all columns from the I_GRADE table. Consider explicitly selecting only the required columns for the IGrade POJO.
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,115,115,return context.select(I_CLASS.fields()),"Using `I_CLASS.fields()` selects all columns from the I_CLASS table, which may include unnecessary data. Explicitly list only the columns needed for IClassExtra."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,143,143,IClassRecord iClassRecord = context.selectFrom(I_CLASS),"Using `selectFrom(I_CLASS)` fetches all columns from the I_CLASS table. Since only the name field is being updated, consider selecting only the necessary columns."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,157,157,IGradeRecord iGradeRecord = context.selectFrom(I_GRADE),"Using `selectFrom(I_GRADE)` fetches all columns from the I_GRADE table. Since only the name field is being updated, consider selecting only the necessary columns."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,171,171,IClassRecord iClassRecord = context.selectFrom(I_CLASS),"Using `selectFrom(I_CLASS)` fetches all columns from the I_CLASS table. Since only the order field is being updated, consider selecting only the necessary columns."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IClassDbServiceImpl.java,181,181,IGradeRecord iGradeRecord = context.selectFrom(I_GRADE),"Using `selectFrom(I_GRADE)` fetches all columns from the I_GRADE table. Since only the order field is being updated, consider selecting only the necessary columns."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IIdAuthOrderDbServiceImpl.java,42,42,context.select(I_ID_AUTH_ORDER.fields()),"Using `fields()` selects all columns from the I_ID_AUTH_ORDER table, which may fetch unnecessary data and reduce query performance. Explicitly list only the columns needed for the IIdAuthOrderExtra mapping."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IIdAuthOrderDbServiceImpl.java,65,65,context.select(I_ID_AUTH_ORDER.fields()),"Using `fields()` selects all columns from the I_ID_AUTH_ORDER table, which may fetch unnecessary data and reduce query performance. Explicitly list only the columns needed for the IIdAuthOrderExtra mapping."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IIdAuthOrderDbServiceImpl.java,79,79,context.select(I_ID_AUTH_ORDER.fields()),"Using `fields()` selects all columns from the I_ID_AUTH_ORDER table, which may fetch unnecessary data and reduce query performance. Explicitly list only the columns needed for the IIdAuthOrderExtra mapping."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IIndexBannerDbServiceImpl.java,28,28,return context.selectFrom(I_INDEX_BANNER),"Using selectFrom() fetches all columns from the I_INDEX_BANNER table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the IIndexBanner POJO."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IItemDbServiceImpl.java,61,61,IItemRecord iItemRecord = context.selectFrom(I_ITEM),"Using selectFrom(I_ITEM) fetches all columns from the I_ITEM table, which may retrieve more data than needed. Consider selecting only the specific columns required for the update operation."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IItemDbServiceImpl.java,137,137,return context.selectFrom(I_ITEM_TAG),"Using selectFrom(I_ITEM_TAG) fetches all columns from the table. If only specific fields are needed, explicitly select those columns to improve query performance."
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IItemDbServiceImpl.java,144,144,return context.select(I_ITEM_TAG.fields()),Using I_ITEM_TAG.fields() selects all columns from the I_ITEM_TAG table. Consider explicitly listing only the required columns to avoid fetching unnecessary data.
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IItemDbServiceImpl.java,155,155,IItemTagRecord iItemTagRecord = context.selectFrom(I_ITEM_TAG),Using selectFrom(I_ITEM_TAG) fetches all columns from the table. Specify only the columns needed for the operation to reduce data transfer.
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IItemDbServiceImpl.java,167,167,IItemTagRecord iItemTagRecord = context.selectFrom(I_ITEM_TAG),Using selectFrom(I_ITEM_TAG) fetches all columns from the table. Consider selecting only the columns that will be updated to improve efficiency.
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IItemDbServiceImpl.java,218,218,return context.select(I_ITEM.fields()),Using I_ITEM.fields() selects all columns from the I_ITEM table. Explicitly list only the required columns to avoid fetching unnecessary data.
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IItemDbServiceImpl.java,228,228,return context.selectFrom(I_ITEM),Using selectFrom(I_ITEM) fetches all columns from the table. Consider selecting only the specific columns needed for the query result.
yangjinguang_i-share-server,Implicit Columns,src/main/java/com/pingyueryou/ishare/dbservice/impl/IItemDbServiceImpl.java,239,239,Record iItemRecord = context.select(I_ITEM.fields()),Using I_ITEM.fields() selects all columns from the I_ITEM table. Specify only the columns required for IItemExtra to reduce data transfer.
yangjinguang_i-share-server,Poor Man's Search Engine,src/main/java/com/pingyueryou/ishare/dbservice/impl/IItemDbServiceImpl.java,256,256,".where(I_ITEM.TITLE.like(""%"" + s + ""%""))","Using LIKE with wildcards on both sides ('%s%') for text search prevents index usage and performs poorly on large datasets. Consider using a full-text search engine like PostgreSQL's tsvector/tsquery, MySQL FULLTEXT indexes, or an external search solution like Elasticsearch."
