Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
yaowei-u_kafka,ID Required,lambdas/core/src/generated/java/com/bfa/models/tables/Author.java,50,50,"public final TableField<AuthorRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");",The primary key is named generically as 'id' rather than a more descriptive name like 'author_id'. Consider renaming the primary key to 'author_id' to make it self-documenting and easier to identify in queries involving multiple tables.
yaowei-u_kafka,ID Required,lambdas/core/src/generated/java/com/bfa/models/tables/Card.java,65,65,"public final TableField<CardRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(191).nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'card_id'. Consider renaming the primary key to 'card_id' to make it more meaningful and to avoid ambiguity when joining tables.
yaowei-u_kafka,ID Required,lambdas/core/src/generated/java/com/bfa/models/tables/Cartitem.java,55,55,"public final TableField<CartitemRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(191).nullable(false), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'cart_item_id' or similar to make it more meaningful and avoid ambiguity in joins."
yaowei-u_kafka,ID Required,lambdas/core/src/generated/java/com/bfa/models/tables/Category.java,59,59,"public final TableField<CategoryRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(191).nullable(false), this, """");","The table uses a generic 'id' column as primary key while a natural unique key 'slug' already exists (KEY_CATEGORY_CATEGORY_SLUG). Consider using 'slug' as the primary key since it's already unique and meaningful, or rename the synthetic key to something more descriptive like 'category_id'."
yaowei-u_kafka,Keyless Entry,lambdas/core/src/generated/java/com/bfa/models/tables/Category.java,69,69,"public final TableField<CategoryRecord, String> PARENT = createField(DSL.name(""parent""), SQLDataType.VARCHAR(191).nullable(false), this, """");",The 'parent' column appears to reference another Category record (self-referential relationship) but lacks a foreign key constraint. Add a foreign key constraint referencing Category.ID to ensure referential integrity and prevent orphaned records.
yaowei-u_kafka,ID Required,lambdas/core/src/generated/java/com/bfa/models/tables/Googlemapslocation.java,57,57,"public final TableField<GooglemapslocationRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(191).nullable(false), this, """");","The table has a synthetic 'id' primary key column, but the 'googlePlacesId' column appears to be a natural unique identifier that could serve as the primary key instead. Consider using 'googlePlacesId' as the primary key since it's already a unique identifier from Google's system."
yaowei-u_kafka,ID Required,lambdas/core/src/generated/java/com/bfa/models/tables/Orderdetail.java,61,61,"public final TableField<OrderdetailRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(191).nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'order_detail_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'order_detail_id'."
yaowei-u_kafka,ID Required,lambdas/core/src/generated/java/com/bfa/models/tables/Product.java,76,76,"public final TableField<ProductRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(191).nullable(false), this, """");","The table uses a generic 'id' column as the primary key while a unique constraint on 'sku' already exists, which is a natural key suitable for identifying products. Consider using 'sku' as the primary key or renaming the synthetic key to something more descriptive like 'product_id'."
yaowei-u_kafka,ID Required,lambdas/core/src/generated/java/com/bfa/models/tables/Productimage.java,59,59,"public final TableField<ProductimageRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(191).nullable(false), this, """");","The primary key is generically named 'id' instead of a more descriptive name like 'product_image_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'product_image_id'."
yaowei-u_kafka,31 Flavors,lambdas/core/src/generated/java/com/bfa/models/tables/User.java,111,111,"public final TableField<UserRecord, UserRole> ROLE = createField(DSL.name(""role""), SQLDataType.VARCHAR(7).nullable(false).defaultValue(DSL.inline(""USER"", SQLDataType.VARCHAR)).asEnumDataType(com.bfa.models.enums.UserRole.class), this, """");","The 'role' column uses an ENUM type to restrict allowed values, which makes adding or removing roles difficult without schema changes. Consider creating a separate 'roles' lookup table and referencing it with a foreign key."
yaowei-u_kafka,31 Flavors,lambdas/core/src/generated/java/com/bfa/models/tables/User.java,116,116,"public final TableField<UserRecord, UserStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR(8).nullable(false).defaultValue(DSL.inline(""ACTIVE"", SQLDataType.VARCHAR)).asEnumDataType(com.bfa.models.enums.UserStatus.class), this, """");","The 'status' column uses an ENUM type to restrict allowed values, which makes adding or removing statuses difficult without schema changes. Consider creating a separate 'user_statuses' lookup table and referencing it with a foreign key."
yaowei-u_kafka,Beware of the Unknown,lambdas/core/src/generated/java/com/bfa/models/tables/User.java,81,81,"public final TableField<UserRecord, Byte> HASVERIFIEDEMAIL = createField(DSL.name(""hasVerifiedEmail""), SQLDataType.TINYINT, this, """");","The 'hasVerifiedEmail' column is a boolean flag that is marked as NULLABLE, but a boolean flag should always have a definite value (true or false). Consider making this column NOT NULL with a default value of 0 (false)."
