Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/main/java/org/jooq/impl/UpsertReplaceQueryImpl.java,89,89,"selectFrom(
                            (d.select != null ? d.select : d.upsertReplaceMaps.upsertSelect())
                                .asTable(m, d.upsertReplaceMaps.keysFlattened()))","The `selectFrom()` method selects all columns from the derived table, which is an implicit column selection. Consider explicitly specifying only the required columns using `select(field1, field2, ...).from(table)` instead."
ydb-platform_ydb-java-dialects,ID Required,jooq-dialect/src/test/java/jooq/generated/ydb/default_schema/tables/DateTable.java,71,71,"public final TableField<DateTableRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED, this, """", new Uint64Binding());","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'date_table_id' to make the column's purpose clearer and avoid ambiguity in joins."
ydb-platform_ydb-java-dialects,Keyless Entry,jooq-dialect/src/test/java/jooq/generated/ydb/default_schema/tables/Episodes.java,58,58,"public final TableField<EpisodesRecord, ULong> SERIES_ID = createField(DSL.name(""series_id""), SQLDataType.BIGINTUNSIGNED, this, """", new Uint64Binding());","The SERIES_ID column appears to reference the Series table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the PK_SERIES primary key on the Series table."
ydb-platform_ydb-java-dialects,Keyless Entry,jooq-dialect/src/test/java/jooq/generated/ydb/default_schema/tables/Episodes.java,63,63,"public final TableField<EpisodesRecord, ULong> SEASON_ID = createField(DSL.name(""season_id""), SQLDataType.BIGINTUNSIGNED, this, """", new Uint64Binding());","The SEASON_ID column (along with SERIES_ID) appears to reference the Seasons table but lacks a foreign key constraint, risking data integrity violations. Add a composite foreign key constraint referencing PK_SEASONS (SERIES_ID, SEASON_ID) on the Seasons table."
ydb-platform_ydb-java-dialects,ID Required,jooq-dialect/src/test/java/jooq/generated/ydb/default_schema/tables/HardTable.java,63,63,"public final TableField<HardTableRecord, byte[]> ID = createField(DSL.name(""id""), SQLDataType.VARBINARY, this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'hard_table_id' to make the schema more self-documenting and avoid ambiguity in joins."
ydb-platform_ydb-java-dialects,Keyless Entry,jooq-dialect/src/test/java/jooq/generated/ydb/default_schema/tables/Seasons.java,58,58,"public final TableField<SeasonsRecord, ULong> SERIES_ID = createField(DSL.name(""series_id""), SQLDataType.BIGINTUNSIGNED, this, """", new Uint64Binding());","The SERIES_ID column appears to reference the Series table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the PK_SERIES primary key on the Series table."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/InsertTest.java,33,33,Result<SeriesRecord> insertedRecord = dsl.selectFrom(SERIES),"Using selectFrom(SERIES) fetches all columns from the SERIES table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the assertion."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/InsertTest.java,86,86,Result<HardTableRecord> records = dsl.selectFrom(HARD_TABLE),"Using selectFrom(HARD_TABLE) fetches all columns from the HARD_TABLE table, which may include columns not needed for the test. Consider using select() to explicitly specify only the required columns."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/InsertTest.java,90,90,Result<HardTableRecord> recordsByUuid = dsl.selectFrom(HARD_TABLE),Using selectFrom(HARD_TABLE) fetches all columns from the HARD_TABLE table unnecessarily. Consider using select() with explicit column names to fetch only the data needed for comparison.
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/ReplaceTest.java,30,30,Result<SeriesRecord> replacedRecord = dsl.selectFrom(SERIES),"Using selectFrom(SERIES) fetches all columns from the SERIES table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the assertion."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/ReplaceTest.java,47,47,SeriesRecord updatedRecord = dsl.selectFrom(SERIES),"Using selectFrom(SERIES) fetches all columns from the SERIES table when only TITLE and SERIES_INFO are needed for the assertions. Consider using select(SERIES.TITLE, SERIES.SERIES_INFO) to fetch only the required columns."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/ReplaceTest.java,68,68,Result<SeriesRecord> replacedRecords = dsl.selectFrom(SERIES).fetch();,"Using selectFrom(SERIES) fetches all columns from the SERIES table, which may retrieve more data than necessary. Consider selecting only the specific columns needed for the comparison."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/ReplaceTest.java,83,83,Result<SeriesRecord> replacedRecords = dsl.selectFrom(SERIES).fetch();,Using selectFrom(SERIES) fetches all columns from the SERIES table. Consider using select() with explicit column names to fetch only the data required for the assertion.
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/ReplaceTest.java,100,100,Result<SeriesRecord> replacedRecords = dsl.selectFrom(SERIES).fetch();,Using selectFrom(SERIES) fetches all columns from the SERIES table. Consider specifying only the columns needed for the comparison to improve query efficiency.
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/ReplaceTest.java,138,138,"Record record = dsl.selectFrom(""numeric"").fetchOne();","Using selectFrom(""numeric"") fetches all columns from the numeric table. Consider using select() with explicit field references to fetch only the required columns."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/ReplaceTest.java,164,164,SeriesRecord replacedRecords = dsl.selectFrom(SERIES),"Using selectFrom(SERIES) fetches all columns from the SERIES table when only SERIES_INFO and RELEASE_DATE are checked in assertions. Consider using select(SERIES.SERIES_INFO, SERIES.RELEASE_DATE) to fetch only the needed columns."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/SelectTest.java,34,34,.selectFrom(SERIES),"Using selectFrom(SERIES) fetches all columns from the SERIES table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the columns you need, e.g., dsl.select(SERIES.SERIES_ID, SERIES.TITLE).from(SERIES)."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/SelectTest.java,43,43,.selectFrom(SERIES.viewPrimaryKey()),"Using selectFrom fetches all columns from the SERIES table view, which retrieves more data than may be necessary. Consider explicitly selecting only the required columns."
ydb-platform_ydb-java-dialects,Implicit Columns,jooq-dialect/src/test/java/tech/ydb/jooq/SelectTest.java,52,52,.selectFrom(SERIES),Using selectFrom(SERIES) fetches all columns from the SERIES table. Consider selecting only the specific columns needed for your use case.
