Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ydeng11_Minance,ID Required,src/main/java/today/ihelio/jooq/tables/Accounts.java,65,65,"public final TableField<AccountsRecord, Integer> ACCOUNT_ID = createField(DSL.name(""account_id""), SQLDataType.INTEGER.identity(true), this, """");","The table has a synthetic auto-increment primary key (account_id) even though a natural unique key exists on (bank_name, account_name) which could serve as the primary key. Consider using the composite natural key (bank_name, account_name) as the primary key instead of the synthetic surrogate key."
ydeng11_Minance,ID Required,src/main/java/today/ihelio/jooq/tables/Banks.java,63,63,"public final TableField<BanksRecord, Integer> BANK_ID = createField(DSL.name(""bank_id""), SQLDataType.INTEGER.identity(true), this, """");","The table has a synthetic auto-increment primary key (bank_id) even though a unique constraint exists on bank_name (UK_BANKS_32305237), which is a natural key suitable as a primary key since bank names are virtually immutable. Consider using bank_name as the primary key instead of introducing a surrogate key."
ydeng11_Minance,ID Required,src/main/java/today/ihelio/jooq/tables/MinanceCategory.java,63,63,"public final TableField<MinanceCategoryRecord, Integer> M_CATEGORY_ID = createField(DSL.name(""m_category_id""), SQLDataType.INTEGER.identity(true), this, """");","The table has a synthetic auto-increment primary key (M_CATEGORY_ID) even though there's already a unique constraint on the CATEGORY column (UK_MINANCE_CATEGORY_125424204), which could serve as a natural primary key. Consider using the CATEGORY column as the primary key instead, since it's already unique and immutable by nature."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/AccountService.java,72,72,.select(ACCOUNTS),"Selecting the entire ACCOUNTS table fetches all columns, which may retrieve unnecessary data and reduce performance. Specify only the required columns explicitly, e.g., `.select(ACCOUNTS.ACCOUNT_ID, ACCOUNTS.ACCOUNT_NAME, ...)`."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/AccountService.java,79,79,return dslContext.select(ACCOUNTS),"Selecting the entire ACCOUNTS table fetches all columns, which may retrieve unnecessary data and reduce performance. Specify only the required columns explicitly, e.g., `.select(ACCOUNTS.ACCOUNT_ID, ACCOUNTS.ACCOUNT_NAME, ...)`."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/AccountService.java,91,91,.select(ACCOUNTS),"Selecting the entire ACCOUNTS table fetches all columns, which may retrieve unnecessary data and reduce performance. Specify only the required columns explicitly, e.g., `.select(ACCOUNTS.ACCOUNT_ID, ACCOUNTS.ACCOUNT_NAME, ...)`."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/AccountService.java,102,102,.select(ACCOUNTS),"Selecting the entire ACCOUNTS table fetches all columns, which may retrieve unnecessary data and reduce performance. Specify only the required columns explicitly, e.g., `.select(ACCOUNTS.ACCOUNT_ID, ACCOUNTS.ACCOUNT_NAME, ...)`."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/BankService.java,45,45,dslContext.select(BANKS),"Selecting the entire BANKS table fetches all columns, which may retrieve unnecessary data and reduce performance. Explicitly specify only the required columns, e.g., `select(BANKS.BANK_ID, BANKS.BANK_NAME)`."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/BankService.java,52,52,dslContext.select(BANKS),"Selecting the entire BANKS table fetches all columns, which may retrieve unnecessary data and reduce performance. Explicitly specify only the required columns, e.g., `select(BANKS.BANK_ID, BANKS.BANK_NAME)`."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/BankService.java,61,61,dslContext.select(BANKS),"Selecting the entire BANKS table fetches all columns, which may retrieve unnecessary data and reduce performance. Explicitly specify only the required columns, e.g., `select(BANKS.BANK_ID, BANKS.BANK_NAME)`."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/CategoryMappingService.java,115,115,dslContext.selectDistinct(MINANCE_CATEGORY),"Selecting the entire MINANCE_CATEGORY table fetches all columns, which can retrieve unnecessary data and reduce performance. Explicitly list only the required columns, e.g., `selectDistinct(MINANCE_CATEGORY.M_CATEGORY_ID, MINANCE_CATEGORY.CATEGORY)`."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/TransactionService.java,98,98,dslContext.select(TRANSACTIONS),"Selecting the entire TRANSACTIONS table fetches all columns, which is inefficient and couples the code to the table schema. Explicitly list only the columns needed for the Transactions POJO."
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/TransactionService.java,105,105,dslContext.select(TRANSACTIONS),Selecting the entire TRANSACTIONS table fetches all columns regardless of actual usage. Specify only the required columns explicitly to improve query performance and maintainability.
ydeng11_Minance,Implicit Columns,src/main/java/today/ihelio/minance/service/TransactionService.java,113,113,dslContext.select(TRANSACTIONS),"Selecting the entire TRANSACTIONS table retrieves all columns, which may include unnecessary data. List only the specific columns needed for the duplicate transaction retrieval."
