Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-extension-actor/src/main/java/io/zerows/boot/full/plugins/IndentKey.java,36,36,DB.on(XCategoryDao.class).<XCategory>fetchByIdAsync(hitKey),"Using a generated DAO's fetchByIdAsync method fetches all columns from the XCategory table, even though only the 'identifier' field is used. Consider using a jOOQ query that selects only the required column (e.g., X_CATEGORY.IDENTIFIER)."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-extension-actor/src/main/java/io/zerows/boot/full/plugins/IndentKey.java,55,55,"DB.on(XCategoryDao.class).<XCategory>fetchInAsync(KName.KEY, values)","Using a generated DAO's fetchInAsync method fetches all columns from the XCategory table, but only 'key' and 'identifier' fields are used. Consider using a jOOQ query that selects only the required columns (e.g., X_CATEGORY.KEY, X_CATEGORY.IDENTIFIER)."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-extension-actor/src/main/java/io/zerows/boot/full/plugins/IndentName.java,55,55,return DB.on(XCategoryDao.class).<XCategory>fetchAndAsync(condition),"Using a generated DAO's fetchAndAsync method fetches all columns from the XCategory table, even though only 'name' and 'key' fields are needed. Consider using a jOOQ query that explicitly selects only the NAME and KEY columns."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-extension-actor/src/main/java/io/zerows/boot/full/plugins/UiHunterControl.java,66,66,return DB.on(UiVisitorDao.class).<UiVisitor>fetchOneAsync(criteria);,"Using a generated DAO's fetchOneAsync method fetches all columns from the UiVisitor table, even though only the controlId field is needed. Consider using a custom query that projects only the required column (controlId) instead of fetching the entire record."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-graphic-actor/src/main/java/io/zerows/boot/graphic/PlotterTopology.java,31,31,return this.dao(recordId).fetchAllAsync(),"The fetchAllAsync() method fetches all columns from the database table, which retrieves unnecessary data and impacts performance. Consider using a projection to fetch only the specific columns needed for the topology drawing."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-graphic-actor/src/main/java/io/zerows/boot/graphic/PlotterTopology.java,34,34,.compose(nil -> this.dao(relationId).fetchAllAsync()),"The fetchAllAsync() method fetches all columns from the relation table, which may include columns not needed for edge processing. Specify only the required columns to improve query efficiency."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-graphic-actor/src/main/java/io/zerows/boot/graphic/PlotterTopology.java,49,49,return DB.on(XCategoryDao.class).<XCategory>fetchAndAsync(condition),"Using XCategoryDao to fetch records retrieves all columns of the XCategory table, but only the 'key' field is used afterward. Consider fetching only the 'key' column to reduce data transfer."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-graphic-actor/src/main/java/io/zerows/boot/graphic/PlotterTopology.java,56,56,return this.dao(recordId).fetchAsync(criteria),The fetchAsync() method fetches all columns from the database table when only specific fields may be needed. Use a projection to select only the columns required for node processing.
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-graphic-actor/src/main/java/io/zerows/boot/graphic/PlotterTopology.java,59,59,.compose(nil -> this.dao(relationId).fetchAllAsync()),"The fetchAllAsync() method retrieves all columns from the relation table, potentially including unnecessary data. Specify only the columns needed for edge processing to improve performance."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-test-actor/src/main/java/io/zerows/boot/test/metadata/QMenu.java,40,40,return DB.on(XMenuDao.class).searchJAsync(query),"Using a DAO's searchJAsync method fetches all columns from the X_MENU table, which may retrieve unnecessary data and impact performance. Consider creating a custom query that selects only the required columns (e.g., key, text, name, type, level, parentId, order)."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-actor/zero-boot-test-actor/src/main/java/io/zerows/boot/test/metadata/QSiteMap.java,50,50,return jooq.<XMenu>fetchAllAsync().compose(menus -> {,"The fetchAllAsync() method fetches all columns from the XMenu table, which retrieves unnecessary data and impacts performance. Consider using a projection to fetch only the required columns (name, key, type) that are actually used in the subsequent processing."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-extension/src/main/java/io/zerows/boot/extension/component/AuditorRunner.java,124,124,return DB.on(XActivityDao.class).insertAsync(activity),Using a generated DAO (XActivityDao) implicitly operates on all columns of the table. Consider using explicit column selection with jOOQ DSL's insert statement specifying only the required columns.
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-boot/zero-boot-extension/src/main/java/io/zerows/boot/extension/component/AuditorRunner.java,157,158,"return DB.on(XActivityChangeDao.class)
                            .insertAsync(changeList)",Using a generated DAO (XActivityChangeDao) implicitly operates on all columns of the table. Consider using explicit column selection with jOOQ DSL's insert statement specifying only the required columns.
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-plugins-extension/zero-exmodule-ambient/zero-exmodule-ambient-api/src/main/java/io/zerows/extension/module/ambient/api/AppActor.java,80,80,return jq.<XNotice>fetchAsync(expiredQr).compose(notices -> {,"The fetchAsync method on the DAO fetches all columns from the XNotice table, which may retrieve unnecessary data. Consider using a jOOQ query that explicitly selects only the required columns (e.g., the primary key and status field needed for the update)."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-plugins-extension/zero-exmodule-ambient/zero-exmodule-ambient-api/src/main/java/io/zerows/extension/module/ambient/api/FileActor.java,31,31,return DB.on(XAttachmentDao.class).searchJAsync(qrCombine);,"Using a generated DAO's searchJAsync method fetches all columns from the XAttachment table, which may retrieve unnecessary data. Consider using a custom query that explicitly selects only the required columns."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-plugins-extension/zero-exmodule-ambient/zero-exmodule-ambient-api/src/main/java/io/zerows/extension/module/ambient/api/FileActor.java,36,36,return DB.on(XAttachmentDao.class).fetchJByIdAsync(key);,Using a generated DAO's fetchJByIdAsync method fetches all columns from the XAttachment table by its primary key. Consider using a custom query that explicitly selects only the columns needed for the response.
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-plugins-extension/zero-exmodule-ambient/zero-exmodule-ambient-api/src/main/java/io/zerows/extension/module/ambient/api/HistoryActor.java,55,55,DB.on(XActivityDao.class).<XActivity>fetchByIdAsync(key),"Using fetchByIdAsync on a DAO fetches all columns from the XActivity table, which may retrieve unnecessary data. Consider using a jOOQ query that explicitly selects only the required columns (key, recordNew, recordOld, etc.)."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-plugins-extension/zero-exmodule-ambient/zero-exmodule-ambient-api/src/main/java/io/zerows/extension/module/ambient/api/LinkActor.java,98,98,return DB.on(XLinkageDao.class).fetchJByIdAsync(key);,"The fetchJByIdAsync method on the generated DAO fetches all columns from the XLinkage table, which may retrieve unnecessary data. Consider using a jOOQ query that explicitly selects only the required columns."
zero-ws_zero-ecotope,Implicit Columns,zero-ecosystem/zero-plugins-extension/zero-exmodule-ambient/zero-exmodule-ambient-api/src/main/java/io/zerows/extension/module/ambient/api/TagActor.java,51,51,"DB.on(XTagDao.class).fetchInAsync(KName.KEY, keySet)","Using fetchInAsync on XTagDao fetches all columns from the X_TAG table, which may retrieve unnecessary data. Consider using a jOOQ query that explicitly selects only the required columns."
zero-ws_zero-ecotope,Keyless Entry,zero-ecosystem/zero-plugins-extension/zero-exmodule-ambient/zero-exmodule-ambient-domain/src/main/java/io/zerows/extension/module/ambient/domain/tables/RTagObject.java,55,55,"public final TableField<RTagObjectRecord, String> TAG_ID = createField(DSL.name(""TAG_ID""), SQLDataType.VARCHAR(36).nullable(false), this, ""「tagId」- 标签ID"");",The TAG_ID column appears to reference the X_TAG table (which has KEY_X_TAG_PRIMARY on the KEY column) but lacks a foreign key constraint. This allows orphaned records where TAG_ID values don't correspond to existing tags. Add a foreign key constraint referencing X_TAG.KEY to ensure referential integrity.
